path,line,voltage_v,current_reading,current_read_attempts,current_read_warning,measured_current_mA,current_std_mA,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA,current_sample_6_mA,current_sample_7_mA,current_sample_8_mA,current_sample_9_mA,current_sample_10_mA,expected_current_mA,relative_current_error,relative_current_std,voltage_before,voltage_after,current_layer,voltage,min_check_voltage,current_mA
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8780,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8908,0.000000000000,-0.001899064284,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9036,0.000000000000,-0.001833437872,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9164,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9292,0.000000000000,-0.001776014762,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9420,0.000000000000,-0.001751404858,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9548,0.000000000000,-0.001776014762,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9676,0.000000000000,-0.001792421365,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9804,0.000000000000,-0.001759608159,2,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,9932,0.000000000000,-0.001776014762,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,10060,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,10188,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,10316,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,10444,0.000000000000,-0.001784218064,1,,,,,,,,,,,,,,,,,,,,,,
