observed_mzi,probe_arm,perturbed_heater,delta_power_w,baseline_phi,perturbed_phi,delta_eta_rad,delta_delta_rad,J_rad_per_w,J_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,baseline_A,baseline_b,perturbed_A,perturbed_b,fixed_w,warning,baseline_scan_mzi_id,perturbed_scan_mzi_id,baseline_scan_arm_name,perturbed_scan_arm_name,baseline_scan_port,perturbed_scan_port
7,u,6u,0.001,1.3178414969863415,1.3310366041582773,0.013195107171935838,0.013195107171935838,13.195107171935838,0.013195107171935838,0.11762188301556897,0.05936005935616621,54.89306995435265,66.81997806247706,57.256928184541216,64.39588099100935,180.85551150485253,,7,7,upper,upper,13,13
8,u,6u,0.001,1.6943575042979315,1.6806182466597015,-0.013739257638230029,-0.013739257638230029,-13.739257638230029,-0.013739257638230029,0.13387157940936997,0.06856370480452033,43.507039750845315,62.72143527031939,43.976684206068256,62.14728588348617,181.42825620486886,,8,8,upper,upper,14,14
5,u,6d,0.001,1.2336445808676837,1.2024529842808613,-0.031191596586822357,-0.031191596586822357,-31.191596586822357,-0.031191596586822357,0.13986836002869674,0.1274985092406874,83.57662645407488,68.27399065802106,75.68085076650928,76.51123083876622,179.8566249709832,,5,5,upper,upper,11,11
6,u,6d,0.001,1.3619612936703698,1.1411871002466967,-0.2207741934236731,-0.2207741934236731,-220.7741934236731,-0.2207741934236731,0.15456374196137468,0.07116522388602013,53.71397506902694,62.83266236005441,52.989052391296795,63.74050796452883,181.93760770075124,,6,6,upper,upper,12,12
7,u,6d,0.001,1.3178414969863415,1.3875512490359059,0.06970975204956442,0.06970975204956442,69.70975204956441,0.06970975204956441,0.11762188301556897,0.31609274416769517,54.89306995435265,66.81997806247706,74.8187395790051,46.91116087247001,180.85551150485253,,7,7,upper,upper,13,13
8,u,6d,0.001,1.6943575042979315,1.688662761139419,-0.005694743158512594,-0.005694743158512594,-5.694743158512594,-0.005694743158512594,0.13387157940936997,0.09647404713534499,43.507039750845315,62.72143527031939,43.19078706044312,63.086046334099755,181.42825620486886,,8,8,upper,upper,14,14
5,u,7u,0.001,1.2336445808676837,1.1768755574303942,-0.05676902343728951,-0.05676902343728951,-56.76902343728951,-0.05676902343728951,0.13986836002869674,0.09097771399488745,83.57662645407488,68.27399065802106,69.17630326154884,83.2739654128548,179.8566249709832,,5,5,upper,upper,11,11
6,u,7u,0.001,1.3619612936703698,1.3761537894364686,0.014192495766098823,0.014192495766098823,14.192495766098823,0.014192495766098823,0.15456374196137468,0.09343603568682148,53.71397506902694,62.83266236005441,59.23457147993207,57.20324441253391,181.93760770075124,,6,6,upper,upper,12,12
7,u,7u,0.001,1.3178414969863415,1.5013567181844838,0.18351522119814234,0.18351522119814234,183.51522119814234,0.18351522119814234,0.11762188301556897,0.04653001095675238,54.89306995435265,66.81997806247706,56.7757292467415,65.16788939842361,180.85551150485253,,7,7,upper,upper,13,13
8,u,7u,0.001,1.6943575042979315,1.6931561408923255,-0.0012013634056060596,-0.0012013634056060596,-1.2013634056060596,-0.0012013634056060596,0.13387157940936997,0.07200430990471746,43.507039750845315,62.72143527031939,46.55090883630349,59.957121664161136,181.42825620486886,,8,8,upper,upper,14,14
5,u,7d,0.001,1.2336445808676837,1.2738726753432452,0.04022809447556153,0.04022809447556153,40.22809447556153,0.04022809447556153,0.13986836002869674,0.10927564919393545,83.57662645407488,68.27399065802106,95.66552235050402,55.895285207327994,179.8566249709832,,5,5,upper,upper,11,11
6,u,7d,0.001,1.3619612936703698,1.3624741195760102,0.0005128259056403905,0.0005128259056403905,0.5128259056403905,0.0005128259056403905,0.15456374196137468,0.0830281030972218,53.71397506902694,62.83266236005441,55.173437431253404,61.37955026273483,181.93760770075124,,6,6,upper,upper,12,12
7,u,7d,0.001,1.3178414969863415,1.0885201502194732,-0.22932134676686822,-0.22932134676686822,-229.3213467668682,-0.2293213467668682,0.11762188301556897,0.09104525145268029,54.89306995435265,66.81997806247706,54.23874657301577,67.89870571363313,180.85551150485253,,7,7,upper,upper,13,13
8,u,7d,0.001,1.6943575042979315,1.677670728151587,-0.016686776146344506,-0.016686776146344506,-16.686776146344506,-0.016686776146344506,0.13387157940936997,0.10809728883045458,43.507039750845315,62.72143527031939,50.18657018600836,56.06998856741486,181.42825620486886,,8,8,upper,upper,14,14
5,u,8u,0.001,1.2336445808676837,1.2614530287256338,0.027808447857950114,0.027808447857950114,27.808447857950114,0.027808447857950114,0.13986836002869674,0.11026040833369596,83.57662645407488,68.27399065802106,87.54790301714131,64.03682450801585,179.8566249709832,,5,5,upper,upper,11,11
6,u,8u,0.001,1.3619612936703698,1.3710086685190852,0.009047374848715428,0.009047374848715428,9.047374848715428,0.009047374848715428,0.15456374196137468,0.08765889187452994,53.71397506902694,62.83266236005441,59.287747931736845,57.34882288090034,181.93760770075124,,6,6,upper,upper,12,12
7,u,8u,0.001,1.3178414969863415,1.2798356177293648,-0.03800587925697663,-0.03800587925697663,-38.00587925697663,-0.03800587925697663,0.11762188301556897,0.07624425925841094,54.89306995435265,66.81997806247706,48.4573901099349,73.71447041741291,180.85551150485253,,7,7,upper,upper,13,13
8,u,8u,0.001,1.6943575042979315,1.903527173435255,0.2091696691373235,0.2091696691373235,209.1696691373235,0.2091696691373235,0.13387157940936997,0.10568980074808418,43.507039750845315,62.72143527031939,42.53124394460428,64.02965726010245,181.42825620486886,,8,8,upper,upper,14,14
5,u,8d,0.001,1.2336445808676837,1.2084356711477042,-0.025208909719979467,-0.025208909719979467,-25.208909719979467,-0.025208909719979467,0.13986836002869674,0.06497309511212553,83.57662645407488,68.27399065802106,77.1920137825596,75.20877994673364,179.8566249709832,,5,5,upper,upper,11,11
6,u,8d,0.001,1.3619612936703698,1.3549555864907017,-0.007005707179668086,-0.007005707179668086,-7.005707179668086,-0.007005707179668086,0.15456374196137468,0.07683402209813942,53.71397506902694,62.83266236005441,51.810601598278744,64.79324576555973,181.93760770075124,,6,6,upper,upper,12,12
7,u,8d,0.001,1.3178414969863415,1.2561739080345147,-0.06166758895182678,-0.06166758895182678,-61.66758895182678,-0.06166758895182678,0.11762188301556897,0.08176088399486334,54.89306995435265,66.81997806247706,45.41024888261483,77.19707241162267,180.85551150485253,,7,7,upper,upper,13,13
8,u,8d,0.001,1.6943575042979315,1.4743226440376915,-0.22003486026024,-0.22003486026024,-220.03486026023998,-0.22003486026023997,0.13387157940936997,0.060606319444369165,43.507039750845315,62.72143527031939,44.0745945014946,62.23609252675008,181.42825620486886,,8,8,upper,upper,14,14
