iter,label,mzi_id,arm_index,port,base_v,plus_v,minus_v,plus_loss,minus_loss,grad,mode
2,MZI6_arm1,6,1,8,5.5,5.5,5.48,,0.0032072190870999404,-0.0004505015422042996,backward
2,MZI7_arm0,7,0,13,4.058,4.077999999999999,4.038,0.0900042406060832,0.006057742186628211,2.0986624604864192,central
2,MZI7_arm1,7,1,9,3.5,3.52,3.48,0.12556868910463823,0.004840224906077514,3.0182116049640153,central
2,MZI8_arm0,8,0,14,4.0,4.02,3.98,0.005129937576711985,0.005101576074574125,0.0007090375534465103,central
2,MZI8_arm1,8,1,10,0.2,0.22,0.18000000000000002,0.0051151982813218986,0.052848064630980025,-1.1933216587414537,central
3,MZI5_arm0,5,0,11,3.972,3.992,3.952,0.14598953140731777,0.0039030413784414417,3.552162250721905,central
3,MZI5_arm1,5,1,7,2.207,2.227,2.187,0.005723817595996304,0.004283292612337375,0.03601312459147319,central
3,MZI6_arm0,6,0,12,4.192,4.212,4.172000000000001,0.0031819579835342024,0.1493016009240001,-3.6529910735117253,central
3,MZI6_arm1,6,1,8,5.5,5.5,5.48,,0.007213549914964459,-0.0007640850918535179,backward
3,MZI7_arm0,7,0,13,4.051,4.071,4.031000000000001,0.004339804560306563,0.09564137073996633,-2.2825391544915425,central
3,MZI7_arm1,7,1,9,3.495,3.515,3.475,0.004363044015818066,0.0052055246148969,-0.021062014976970828,central
3,MZI8_arm0,8,0,14,4.0,4.02,3.98,0.0044659188141158174,0.004489586382467075,-0.0005916892087814395,central
3,MZI8_arm1,8,1,10,0.2,0.22,0.18000000000000002,0.004465339884364692,0.004487242531504747,-0.0005475661785013739,central
4,MZI5_arm0,5,0,11,3.883,3.903,3.863,0.003536361972638961,0.2072271328470641,-5.092269271860624,central
4,MZI5_arm1,5,1,7,2.203,2.223,2.183,0.09548560111450481,0.0039252530628230056,2.289008701292043,central
4,MZI6_arm0,6,0,12,4.283,4.303,4.263000000000001,0.0053817890469078,0.002059501819057527,0.0830571806962586,central
4,MZI6_arm1,6,1,8,5.5,5.5,5.48,,0.009025564090644325,-0.17181658338070624,backward
4,MZI7_arm0,7,0,13,4.08,4.1,4.0600000000000005,0.003933880832385053,0.0030821636561430823,0.021292929406049724,central
4,MZI7_arm1,7,1,9,3.497,3.517,3.477,0.003038497701139645,0.0036738169074580977,-0.01588298015796131,central
4,MZI8_arm0,8,0,14,4.0,4.02,3.98,0.0030507337534049516,0.003093423250659475,-0.0010672374313630962,central
4,MZI8_arm1,8,1,10,0.2,0.22,0.18000000000000002,0.14257901923286695,0.0030406937191751883,3.4884581378422963,central
5,MZI5_arm0,5,0,11,3.947,3.967,3.927,0.004145955660076578,0.002733666439089559,0.03530723052467545,central
5,MZI5_arm1,5,1,7,2.203,2.223,2.183,0.0027797064529871953,0.003369835883640266,-0.014753235766326749,central
5,MZI6_arm0,6,0,12,4.279,4.2989999999999995,4.259,0.004775871544341713,0.0017113407463103662,0.07661326995078531,central
5,MZI6_arm1,6,1,8,5.5,5.5,5.48,,0.005441388238023783,-0.0013403560269454754,backward
5,MZI7_arm0,7,0,13,4.078,4.098,4.058000000000001,0.003683079041806438,0.0030758734673608282,0.015180139361140573,central
5,MZI7_arm1,7,1,9,3.498,3.5180000000000002,3.478,0.010158105477173121,0.0035333196685644374,0.16561964521521694,central
5,MZI8_arm0,8,0,14,4.0,4.02,3.98,0.0029670694988663897,0.060590790268841815,-1.4405930192494003,central
5,MZI8_arm1,8,1,10,0.2,0.22,0.18000000000000002,0.002987569371558348,0.0029808856380997045,0.00016709333646608998,central
