iter,label,mzi_id,arm_index,port,scan_voltage,loss
0,MZI7_arm1,7,1,9,5.1,0.09154850884930449
0,MZI7_arm1,7,1,9,5.2,0.04790103039952925
0,MZI7_arm1,7,1,9,5.3,0.04057707636494501
0,MZI7_arm1,7,1,9,5.4,0.020498670295314627
0,MZI7_arm1,7,1,9,5.5,0.09032092563117167
0,MZI8_arm1,8,1,10,0.0,0.0067285156890683545
0,MZI8_arm1,8,1,10,0.1,0.1402597554084758
0,MZI8_arm1,8,1,10,0.2,0.006698733253509178
0,MZI8_arm1,8,1,10,0.3,0.14786174184937179
0,MZI8_arm1,8,1,10,0.4,0.00674334462445669
0,MZI8_arm1,8,1,10,0.5,0.006725972629604565
0,MZI8_arm1,8,1,10,0.6,0.0067475673347205814
0,MZI8_arm1,8,1,10,0.7,0.09074374670091673
0,MZI8_arm1,8,1,10,0.8,0.00672012971827253
0,MZI8_arm1,8,1,10,0.9,0.08987751010104975
0,MZI8_arm1,8,1,10,1.0,0.1454219383216257
0,MZI8_arm1,8,1,10,1.1,0.006762175382184194
0,MZI8_arm1,8,1,10,1.2,0.006745903442345148
0,MZI8_arm1,8,1,10,1.3,0.1121202251961879
0,MZI8_arm1,8,1,10,1.4,0.2132171743510065
0,MZI8_arm1,8,1,10,1.5,0.006765736406938413
0,MZI8_arm1,8,1,10,1.6,0.27325165309243316
0,MZI8_arm1,8,1,10,1.7,0.006785845321966362
0,MZI8_arm1,8,1,10,1.8,0.06396845027337265
0,MZI8_arm1,8,1,10,1.9,0.14056880497772278
0,MZI8_arm1,8,1,10,2.0,0.006853424032325645
0,MZI8_arm1,8,1,10,2.1,0.006845125522700985
0,MZI8_arm1,8,1,10,2.2,0.006950886664718956
0,MZI8_arm1,8,1,10,2.3,0.007021645562914241
0,MZI8_arm1,8,1,10,2.4,0.00719904160750928
0,MZI8_arm1,8,1,10,2.5,0.00761314579013672
0,MZI8_arm1,8,1,10,2.6,0.00868655766778002
0,MZI8_arm1,8,1,10,2.7,0.012121886623752007
0,MZI8_arm1,8,1,10,2.8,0.0353504189000555
0,MZI8_arm1,8,1,10,2.9,0.09272575778967858
0,MZI8_arm1,8,1,10,3.0,0.07047062978813681
0,MZI8_arm1,8,1,10,3.1,0.01872063515079962
0,MZI8_arm1,8,1,10,3.2,0.3038862348545269
0,MZI8_arm1,8,1,10,3.3,0.007808481869156429
0,MZI8_arm1,8,1,10,3.4,0.007405745119076919
0,MZI8_arm1,8,1,10,3.5,0.007300606450804881
0,MZI8_arm1,8,1,10,3.6,0.3451404797713395
0,MZI8_arm1,8,1,10,3.7,0.1412030527790872
0,MZI8_arm1,8,1,10,3.8,0.007415308452767236
0,MZI8_arm1,8,1,10,3.9,0.09750709847026605
0,MZI8_arm1,8,1,10,4.0,0.09878275228975451
0,MZI8_arm1,8,1,10,4.1,0.09963255134764842
0,MZI8_arm1,8,1,10,4.2,0.007816815738094207
0,MZI8_arm1,8,1,10,4.3,0.007928484956191773
0,MZI8_arm1,8,1,10,4.4,0.008082919635361709
0,MZI8_arm1,8,1,10,4.5,0.00815171446856851
0,MZI8_arm1,8,1,10,4.6,0.008343292208637342
0,MZI8_arm1,8,1,10,4.7,0.008488638529598044
0,MZI8_arm1,8,1,10,4.8,0.008664707247500953
0,MZI8_arm1,8,1,10,4.9,0.00934999731691664
0,MZI8_arm1,8,1,10,5.0,0.011962065723062562
0,MZI8_arm1,8,1,10,5.1,0.1561203138782158
0,MZI8_arm1,8,1,10,5.2,0.139504395584191
0,MZI8_arm1,8,1,10,5.3,0.014531141518142672
0,MZI8_arm1,8,1,10,5.4,0.09725738212355205
0,MZI8_arm1,8,1,10,5.5,0.009342317819123173
