switch_mzi,port,feature_coefficient,upload_voltage,target_leak_power,p_on_leak,p_off_leak,scan_path
3,41,0.63,3.411,75.10720587931,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.64,3.403,73.09422559168001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.65,3.395,71.08124530404999,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.66,3.386,69.06826501641999,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.67,3.377,67.05528472878999,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.68,3.368,65.04230444115998,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.6900000000000001,3.359,63.029324153529984,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.7000000000000001,3.35,61.016343865899984,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.71,3.342,59.00336357827001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.72,3.333,56.99038329064001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.73,3.324,54.97740300301001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.74,3.315,52.96442271538001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.75,3.306,50.95144242775001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.76,3.297,48.93846214012001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.77,3.286,46.92548185249001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.78,3.276,44.91250156486001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.79,3.265,42.89952127723001,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.8,3.254,40.88654098959998,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.81,3.244,38.87356070196998,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.8200000000000001,3.233,36.86058041433998,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.8300000000000001,3.223,34.84760012670998,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.84,3.212,32.834619839080005,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.85,3.202,30.821639551450005,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.86,3.188,28.808659263820005,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
3,41,0.87,3.175,26.795678976190004,0.6269352370000004,201.92496400000002,Scandata-backup-04\1Col\power_data\41.txt
