global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_role,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI10_arm0,current_layer,75,10,0,4.115,4.114855234114897,0.001447658851032401,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI10_arm1,current_layer,71,10,1,4.267,4.2671132810883705,-0.0011328108837019158,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI11_arm0,current_layer,74,11,0,4.602,4.602009691432038,-9.691432037723985e-05,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI11_arm1,current_layer,70,11,1,4.922,4.921942394644856,0.0005760535514401445,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI12_arm0,current_layer,73,12,0,3.532,3.5319999653401135,3.465988646912724e-07,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI12_arm1,current_layer,69,12,1,3.646,3.646000026955592,-2.6955592119154397e-07,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI10_arm0,current_layer,75,10,0,4.115,4.114855234114897,0.001447658851032401,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI10_arm1,current_layer,71,10,1,4.267,4.2671132810883705,-0.0011328108837019158,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI11_arm1,current_layer,70,11,1,4.922,4.921942394644856,0.0005760535514401445,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI11_arm0,current_layer,74,11,0,4.602,4.602009691432038,-9.691432037723985e-05,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI9_arm0,current_layer,76,9,0,4.956,4.955999716599005,2.8340099524923536e-06,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI9_arm1,current_layer,72,9,1,5.026,5.0260002655796185,-2.6557961833025876e-06,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI12_arm0,current_layer,73,12,0,3.532,3.5319999653401135,3.465988646912724e-07,True,0,0.1
7,3,optimized,,1,5.932654769923146e-07,5.932654769923146e-07,MZI12_arm1,current_layer,69,12,1,3.646,3.646000026955592,-2.6955592119154397e-07,True,0,0.1
7,4,optimized,,0,2.645037271890937e-14,2.645037271890937e-14,MZI13_arm0,current_layer,19,13,0,2.685,2.685000003643104,-3.6431042126771865e-08,True,0,0.1
7,4,optimized,,0,2.645037271890937e-14,2.645037271890937e-14,MZI13_arm1,current_layer,15,13,1,4.117,4.116999933628859,6.637114045154831e-07,True,0,0.1
7,4,optimized,,0,2.645037271890937e-14,2.645037271890937e-14,MZI14_arm0,current_layer,20,14,0,3.872,3.871999892609407,1.0739059288618555e-06,True,0,0.1
