iter,label,mzi_id,arm_index,port,base_v,plus_v,minus_v,plus_loss,minus_loss,grad,mode
3,MZI5_arm1,5,1,7,3.574,3.594,3.554,0.193984167168423,0.14066728490233568,1.332922056652182,central
3,MZI6_arm0,6,0,12,3.978,3.998,3.958,0.11732775102951934,0.13732313349984115,-0.49988456175804497,central
3,MZI6_arm1,6,1,8,3.412,3.432,3.392,0.13223169591124112,0.11634262472209482,0.39722677972865716,central
3,MZI7_arm0,7,0,13,3.798,3.818,3.778,0.097689561423478,0.12148677268170303,-0.5949302814556254,central
3,MZI7_arm1,7,1,9,3.445,3.465,3.425,0.1021632097575932,0.08374931739786179,0.4603473089932849,central
3,MZI8_arm0,8,0,14,5.5,5.5,5.48,,0.08225901690039561,0.015825319698642763,backward
3,MZI8_arm1,8,1,10,3.166,3.186,3.146,0.4305843115088416,0.11512733309943247,7.8864244602352205,central
4,MZI5_arm0,5,0,11,4.064,4.084,4.0440000000000005,0.28890675290337386,0.08570130615539526,5.080136168699574,central
4,MZI5_arm1,5,1,7,3.474,3.494,3.454,0.08507140443935496,0.42130548829356057,-8.405852096355133,central
4,MZI6_arm0,6,0,12,3.984,4.004,3.964,0.09075022703699308,0.09105726572987312,-0.007675967322001093,central
4,MZI6_arm1,6,1,8,3.372,3.392,3.352,0.08898308834467825,0.07590817663561977,0.3268727927264615,central
4,MZI7_arm0,7,0,13,3.828,3.848,3.808,0.09080063703955067,0.08230820027590416,0.21231091909116265,central
4,MZI7_arm1,7,1,9,3.422,3.442,3.402,0.14713573237624858,0.06449074101574276,2.0661247840126435,central
4,MZI8_arm0,8,0,14,5.499,5.5,5.479,0.04079942944371988,0.04084884483298517,-0.002353113774537663,central
4,MZI8_arm1,8,1,10,3.066,3.086,3.046,0.05658753660427848,0.0408994343936686,0.3922025552652466,central
5,MZI5_arm0,5,0,11,4.064,4.084,4.0440000000000005,0.1669693228859556,0.04380764250318001,3.0790420095694553,central
5,MZI5_arm1,5,1,7,3.474,3.494,3.454,0.051129240359589184,0.04395687833614231,0.1793090505861716,central
5,MZI6_arm0,6,0,12,3.985,4.005,3.965,0.0968115014060212,0.0530326732051176,1.094470705022589,central
5,MZI6_arm1,6,1,8,3.339,3.359,3.319,0.05129417008067911,0.040852303728910314,0.2610466587942197,central
5,MZI7_arm0,7,0,13,3.828,3.848,3.808,0.03778758959065781,0.04826495020552794,-0.2619340153717531,central
5,MZI7_arm1,7,1,9,3.322,3.342,3.302,0.04014275583645924,0.03351963898843775,0.16557792120053696,central
5,MZI8_arm0,8,0,14,5.499,5.5,5.479,0.03391267561398145,0.03386096851995987,0.002462242572456213,central
5,MZI8_arm1,8,1,10,3.066,3.086,3.046,0.0911214459410458,0.03387150588242375,1.4312485014655503,central
6,MZI5_arm0,5,0,11,4.026,4.045999999999999,4.006,0.0305705373797485,0.03845520676596444,-0.19711673465540283,central
6,MZI5_arm1,5,1,7,3.465,3.485,3.445,0.03324959690573772,0.028235376311354365,0.12535551485958377,central
6,MZI6_arm0,6,0,12,3.985,4.005,3.965,0.023475922897833713,0.03569353813247539,-0.3054403808660416,central
6,MZI6_arm1,6,1,8,3.326,3.346,3.306,0.02914550442833216,0.020937734810285095,0.20519424045117646,central
6,MZI7_arm0,7,0,13,3.854,3.874,3.834,0.08365341924558824,0.02447726762723348,1.4794037904588675,central
6,MZI7_arm1,7,1,9,3.305,3.325,3.285,0.15740045117615845,0.01845441394619222,3.473650930749153,central
