observed_mzi,perturbed_heater,delta_power_w,baseline_A,baseline_w,baseline_beta,baseline_b,perturbed_A,perturbed_beta,perturbed_b,delta_beta_rad,sign_s,coeff_c,delta_sigma_rad,J_rad_per_w,J_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,visibility_ratio,warning
5,5u,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,78.95001048137608,0.10195896054243292,85.44268405711306,0.08909683283744574,1,2.0,0.17819366567489148,178.19366567489146,0.17819366567489145,1.8800107954502516,1.8832521630768293,1.001636601046897,sigma_sign.json missing; default coeff_c=+2.0
8,6u,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,71.92122822364232,0.9935667513203557,72.05136077336823,-0.0014253522961897858,1,2.0,-0.0028507045923795715,-2.8507045923795715,-0.0028507045923795715,0.5694200108109592,0.6148934413367299,1.0008102179395237,sigma_sign.json missing; default coeff_c=+2.0
5,6d,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,78.78407574703107,-0.0054065197912178675,85.33903150030375,-0.018268647496205048,1,2.0,-0.036537294992410096,-36.5372949924101,-0.036537294992410096,1.8800107954502516,1.8902205666826575,0.9995313916581765,sigma_sign.json missing; default coeff_c=+2.0
6,6d,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,69.27479743397738,0.45806339534741225,72.28701134541015,0.18535670765561107,1,2.0,0.37071341531122215,370.71341531122215,0.37071341531122215,1.1132544335136132,0.8873594573122386,0.9724738859205716,sigma_sign.json missing; default coeff_c=+2.0
7,6d,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,64.06874530992724,0.14561252726753704,63.53889664043349,-0.09480288281570459,1,2.0,-0.18960576563140918,-189.60576563140918,-0.18960576563140918,4.961118487276256,8.705919337855898,0.9611114790910897,sigma_sign.json missing; default coeff_c=+2.0
8,6d,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,71.79689225643207,0.9921759141380475,71.97382603681501,-0.0028161894784979324,1,2.0,-0.005632378956995865,-5.632378956995865,-0.005632378956995865,0.5694200108109592,0.5922753463889662,0.9990800374418484,sigma_sign.json missing; default coeff_c=+2.0
5,7u,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,78.86444863543291,0.012701962745508055,85.2767152939105,-0.00016016495947912546,1,2.0,-0.0003203299189582509,-0.3203299189582509,-0.0003203299189582509,1.8800107954502516,1.8557119436832348,1.0005510802720765,sigma_sign.json missing; default coeff_c=+2.0
6,7u,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,71.58429611777161,0.27411543373592373,74.90083335291588,0.0014087460441225552,1,2.0,0.0028174920882451104,2.8174920882451104,0.0028174920882451104,1.1132544335136132,1.0566722236468156,1.0048944377337807,sigma_sign.json missing; default coeff_c=+2.0
7,7u,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,65.46204209606566,0.32842966653252503,70.42315772669701,0.0880142564492834,1,2.0,0.1760285128985668,176.0285128985668,0.17602851289856677,4.961118487276256,5.649905510735552,0.9820126771473419,sigma_sign.json missing; default coeff_c=+2.0
8,7u,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,72.09224325475702,0.8973340798360905,72.14142367812703,-0.09765802378045496,1,2.0,-0.19531604756090992,-195.3160475609099,-0.1953160475609099,0.5694200108109592,0.5398035566372176,1.0031899546985878,sigma_sign.json missing; default coeff_c=+2.0
5,7d,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,79.0551488680287,-0.057763120342011476,88.39063829189136,-0.07062524804699866,1,2.0,-0.1412504960939973,-141.2504960939973,-0.14125049609399729,1.8800107954502516,7.430626367327769,1.0029704888526636,sigma_sign.json missing; default coeff_c=+2.0
6,7d,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,71.50309158520795,0.27180533103918325,74.8677944918315,-0.000901356652617924,1,2.0,-0.001802713305235848,-1.802713305235848,-0.001802713305235848,1.1132544335136132,1.1257467063647317,1.0037544952112232,sigma_sign.json missing; default coeff_c=+2.0
7,7d,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,64.53496276573078,0.4761346429647473,68.14637286113937,0.23571923288150565,1,2.0,0.4714384657630113,471.43846576301127,0.47143846576301124,4.961118487276256,3.6288455414921184,0.9681053252536429,sigma_sign.json missing; default coeff_c=+2.0
8,7d,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,71.71799495286044,0.9043283321755462,71.85061513237142,-0.09066377144099924,1,2.0,-0.18132754288199848,-181.32754288199848,-0.18132754288199848,0.5694200108109592,0.576949463714381,0.9979821525818063,sigma_sign.json missing; default coeff_c=+2.0
5,8u,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,78.64780736306398,0.012959490374118587,85.16935676566634,9.736266913140668e-05,1,2.0,0.00019472533826281335,0.19472533826281335,0.00019472533826281335,1.8800107954502516,1.9727611046059386,0.9978025584368161,sigma_sign.json missing; default coeff_c=+2.0
6,8u,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,71.63587403191556,0.2710514033582183,74.97821009404349,-0.0016552843335828626,1,2.0,-0.0033105686671657253,-3.3105686671657253,-0.0033105686671657253,1.1132544335136132,1.1252740187540178,1.0056184842334193,sigma_sign.json missing; default coeff_c=+2.0
7,8u,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,68.76303727722812,0.30709174516997484,67.097258954756,0.06667633508673321,1,2.0,0.13335267017346641,133.3526701734664,0.13335267017346641,4.961118487276256,1.1923652905338782,1.0315317421093964,sigma_sign.json missing; default coeff_c=+2.0
8,8u,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,67.68793308883632,1.068192607648637,69.75976459869155,0.07320050403209155,1,2.0,0.1464010080641831,146.4010080641831,0.14640100806418307,0.5694200108109592,6.3967986883930115,0.9419023665150009,sigma_sign.json missing; default coeff_c=+2.0
5,8d,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,79.02356051302097,-0.04079436293957395,87.59093806030576,-0.05365649064456113,1,2.0,-0.10731298128912226,-107.31298128912225,-0.10731298128912224,1.8800107954502516,5.840173014729682,1.0025697282656836,sigma_sign.json missing; default coeff_c=+2.0
6,8d,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,71.67516927928826,0.2705479030963156,75.00639592476591,-0.0021587845954855744,1,2.0,-0.004317569190971149,-4.317569190971149,-0.004317569190971149,1.1132544335136132,1.1230798066382903,1.0061701076711802,sigma_sign.json missing; default coeff_c=+2.0
7,8d,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,69.48326617799383,0.2542136033830382,69.46463683211621,0.01379819329979659,1,2.0,0.02759638659959318,27.59638659959318,0.02759638659959318,4.961118487276256,3.223234447882177,1.042336078307187,sigma_sign.json missing; default coeff_c=+2.0
8,8d,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,70.62551410649544,1.1706521933060854,70.4128517492115,0.17566008968953994,1,2.0,0.3513201793790799,351.3201793790799,0.3513201793790799,0.5694200108109592,0.5634704229829616,0.9827798816953104,sigma_sign.json missing; default coeff_c=+2.0
