mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
14,4,0,20,3.872,3.141592653589793,1.2543205640869446,1.2543205640869446,0,0,0,-1.8872720895028485,-1.8872720895028485,3.1056298720821216,3.1056298720821216,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,-0.2863136823096112,5.996871624869975,1,-1,0,5.996871624869975,-0.2863136823096113,5.637808016018589,3.7120844312703003,inter_cali_pair_pi0_prebiased
15,4,0,21,3.678,3.141592653589793,8.949349384374191e-17,8.949349384374191e-17,0,0,0,-3.141592653589793,-3.141592653589793,2.1566413596097354,2.1566413596097354,inter_cali_pair_pi0_prebiased
15,4,1,17,3.732,0.0,0.0,0.0,0,0,0,0.0,0.0,3.732,3.732,inter_cali_pair_pi0_prebiased
16,4,0,22,5.086,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,5.086,5.086,inter_cali_pair_pi0_prebiased
16,4,1,18,3.21,0.0,0.0,0.0,0,0,0,0.0,0.0,3.21,3.21,inter_cali_pair_pi0_prebiased
17,5,0,84,4.004,3.141592653589793,1.073583684848742,1.073583684848742,0,0,0,-2.0680089687410512,-2.0680089687410512,3.1949826457549158,3.1949826457549158,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
17,5,1,80,0.0,0.0,-2.0680089687410512,4.2151763384385355,1,0,1,4.2151763384385355,4.2151763384385355,3.454691599851328,3.454691599851328,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
18,5,0,83,3.623,3.141592653589793,-3.4337532158617092,2.849432091317877,1,0,1,-0.2921605622719161,-0.2921605622719161,3.5068269252524757,3.5068269252524757,inter_cali_pair_pi0_prebiased
18,5,1,79,3.574,0.0,-3.8438573752101854,2.439327931969401,1,0,1,2.439327931969401,2.439327931969401,4.440226219740383,4.440226219740383,inter_cali_pair_pi0_prebiased
19,5,0,82,3.458,3.141592653589793,-0.1404756519857211,6.142709655193865,1,0,1,3.0011170016040722,3.0011170016040722,4.52369707334613,4.52369707334613,inter_cali_pair_pi0_prebiased
19,5,1,78,3.443,0.0,-0.8539496319065876,5.429235675272999,1,0,1,5.429235675272999,5.429235675272999,5.243776216936452,5.243776216936452,inter_cali_pair_pi0_prebiased
20,5,0,81,3.345,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,1.5166501945450335,1.5166501945450335,inter_cali_pair_pi0_prebiased
20,5,1,77,3.469,0.0,3.141592653589793,3.141592653589793,0,0,0,3.141592653589793,3.141592653589793,4.584992033488804,4.584992033488804,inter_cali_pair_pi0_prebiased
21,6,0,27,3.371,3.141592653589793,9.914566082340722,3.6313807751611353,-1,0,-1,0.4897881215713422,0.4897881215713422,3.5773474801891036,3.5773474801891036,inter_cali_pair_pi0_prebiased
21,6,1,23,3.725,0.0,9.326563478793153,3.0433781716135666,-1,0,-1,3.0433781716135666,3.0433781716135666,4.788150216457736,4.788150216457736,inter_cali_pair_pi0_prebiased
22,6,0,28,5.183,3.141592653589793,5.025239086334132,5.025239086334132,0,-1,-1,1.8836464327443387,-4.3995388744352475,5.694447864868565,3.724203238616773,inter_cali_pair_pi0_prebiased
22,6,1,24,3.404,0.0,3.9955422854963807,3.9955422854963807,0,0,0,3.9955422854963807,3.9955422854963807,4.824822990151289,4.824822990151289,inter_cali_pair_pi0_prebiased
23,6,0,29,4.904,3.141592653589793,1.5707963267948966,1.5707963267948966,0,0,0,-1.5707963267948966,-1.5707963267948966,4.432937229476659,4.432937229476659,inter_cali_pair_pi0_prebiased
23,6,1,25,5.038,0.0,0.0,0.0,0,0,0,0.0,0.0,5.038,5.038,inter_cali_pair_pi0_prebiased
24,6,0,26,4.582,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,4.582,4.582,inter_cali_pair_pi0_prebiased
24,6,1,30,4.693,0.0,0.0,0.0,0,0,0,0.0,0.0,4.693,4.693,inter_cali_pair_pi0_prebiased
25,7,0,100,3.921,3.141592653589793,-3.141592653589793,3.141592653589793,1,0,1,0.0,0.0,3.921,3.921,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
25,7,1,104,0.0,0.0,-6.283185307179586,0.0,1,0,1,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
26,7,0,99,4.165,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,2.905763566601091,2.905763566601091,inter_cali_pair_pi0_prebiased
26,7,1,103,4.198,0.0,-3.141592653589793,3.141592653589793,1,0,1,3.141592653589793,3.141592653589793,5.15468174750952,5.15468174750952,inter_cali_pair_pi0_prebiased
27,7,0,102,3.836,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,3.836,3.836,inter_cali_pair_pi0_prebiased
27,7,1,98,4.083,0.0,0.0,0.0,0,0,0,0.0,0.0,4.083,4.083,inter_cali_pair_pi0_prebiased
28,7,0,101,3.877,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,2.4784081912669467,2.4784081912669467,inter_cali_pair_pi0_prebiased
28,7,1,97,3.908,0.0,3.141592653589793,3.141592653589793,0,0,0,3.141592653589793,3.141592653589793,4.936218933522187,4.936218933522187,inter_cali_pair_pi0_prebiased
