iter,theta5u,theta5d,theta6u,theta6d,theta7u,theta7d,theta8u,theta8d
23,1.4799118055061151,4.640232317831838e-08,1.4799117926017786,3.295296378130752e-08,1.479911760487615,2.7237777065064472e-08,3.1415926342473575,2.0679233592862944e-08
24,1.4366403874787808,4.4591453002285064e-08,1.4366403750780408,3.166696038725547e-08,1.4366403442171458,2.6174811271553744e-08,3.141592635002204,1.987221783655846e-08
25,1.397696110513818,4.267873410235268e-08,1.3976960986449989,3.0308628249514635e-08,1.3976960691078604,2.5052061211963683e-08,3.1415926357995057,1.9019813141119002e-08
26,1.362646260579026,4.0702643790135884e-08,1.362646249259751,2.8905293179837255e-08,1.3626462210902266,2.389211313687245e-08,3.1415926366232227,1.8139167107592002e-08
27,1.3311013950380202,3.869498495928658e-08,1.331101384277069,2.7479538585589713e-08,1.331101357497007,2.271363367615381e-08,3.141592637460099,1.7244452492695683e-08
28,1.3027110155113912,3.6681831662443987e-08,1.3027110053102917,2.6049882025785953e-08,1.302710979923495,2.1531929505873293e-08,3.141592638299266,1.6347288696316742e-08
29,1.2771596734516735,3.4684359190295666e-08,1.2771596638060656,2.4631361852933686e-08,1.2771596398016816,2.03594296742729e-08,3.1415926391318965,1.545711364112079e-08
30,1.254163465160752,3.271956239628282e-08,1.2541634560615476,2.323604666662482e-08,1.254163433416962,1.9206110582134506e-08,3.141592639950906,1.4581500513977108e-08
31,1.233466877305464,3.0800881668097135e-08,1.2334668687398385,2.1873481140938233e-08,1.2334668474231354,1.8079861308605005e-08,3.141592640750693,1.3726438724374901e-08
32,1.2148399478815923,2.8938741545442292e-08,1.2148399398338219,2.0551068099020076e-08,1.2148399198058706,1.6986800851354067e-08,3.1415926415269118,1.2896574021377394e-08
33,1.198075711081406,2.7141021194387882e-08,1.1980757035335763,1.9274402913993516e-08,1.1980756847497933,1.5931553623213524e-08,3.141592642276277,1.2095418569502137e-08
34,1.1829878976744075,2.5413456870154727e-08,1.1829878906070073,1.8047560116501993e-08,1.1829878730188388,1.4917487799713525e-08,3.1415926429963985,1.1325527991129514e-08
35,1.1694088653499604,2.3759995804173428e-08,1.1694088587423828,1.6873341571188583e-08,1.1694088422985431,1.3946919460473828e-08,3.1415926436856303,1.0588661654951925e-08
36,1.1571877360256244,2.218309216872605e-08,1.157187729856579,1.57534916622043e-08,1.1571877145040843,1.3021290253510676e-08,3.1415926443429503,9.88591365106567e-09
37,1.1461887194246227,2.0683969131213287e-08,1.1461887136724778,1.4688877876187223e-08,1.1461886993574977,1.2141317611881475e-08,3.1415926449678473,9.21782795232362e-09
