port,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA
29,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637,7.683738611396637
30,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778
31,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
32,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
33,7.382608067307835,7.382608067307835,7.382608067307835,7.382608067307835,7.382608067307835
34,-0.19147974814342483,-0.19147974814342483,-0.19147974814342483,-0.19147974814342483,-0.19147974814342483
35,-0.1783871157917507,-0.1783871157917507,-0.1783871157917507,-0.1783871157917507,-0.1783871157917507
36,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663,7.598636501110663
37,-0.16043606795774334,-0.16043606795774334,-0.16043606795774334,-0.16042786465630102,-0.16042786465630102
38,7.628094923901977,7.628094923901977,7.628094923901977,7.628094923901977,7.628094923901977
39,-0.1587481672642023,-0.1587481672642023,-0.1587481672642023,-0.1587481672642023,-0.1587481672642023
40,7.542992813616001,7.542992813616001,7.542992813616001,7.542992813616001,7.542992813616001
41,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395,7.7001044018362395
42,7.461163861417955,7.461163861417955,7.461163861417955,7.461163861417955,7.461163861417955
43,8.060151791507652,8.060151791507652,8.060151791507652,8.060151791507652,8.060151791507652
44,7.336783854076919,7.336783854076919,7.336783854076919,7.336783854076919,7.336783854076919
45,7.955410732694164,7.955410732694164,7.955410732694164,7.955410732694164,7.955410732694164
46,8.00450810401299,8.00450810401299,8.00450810401299,8.00450810401299,8.00450810401299
47,-0.23403080328641224,-0.2373039613743401,-0.23403080328641224,-0.2373039613743401,-0.2373039613743401
48,7.896493887111555,7.896493887111555,7.896493887111555,7.896493887111555,7.896493887111555
49,5.723116916731437,5.726390074819347,5.726390074819347,5.726390074819347,5.726390074819347
50,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
51,-0.00737066634590476,-0.00737066634590476,-0.007378869647347073,-0.007403479551673965,-0.007387072948789339
52,-0.0074198861545585445,-0.007411682853116278,-0.007411682853116278,-0.007387072948789339,-0.007411682853116278
53,-0.007403479551673965,-0.007403479551673965,-0.007395276250231652,-0.007395276250231652,-0.007403479551673965
54,-0.007354259743020181,-0.00737066634590476,-0.007362463044462447,-0.007362463044462447,-0.007378869647347073
55,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
56,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
57,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
58,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
59,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
60,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
61,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06
62,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
63,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
64,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
65,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378,8.616588666454378
66,8.184531798848685,8.184531798848685,8.184531798848685,8.184531798848685,8.184531798848685
67,8.05687863341974,8.053605475331814,8.053605475331814,8.053605475331814,8.053605475331814
68,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035,7.9783228393096035
69,-0.13332415669094844,-0.1333487665952753,-0.133340563293833,-0.1333569698967176,-0.133340563293833
70,-0.13256290256083544,-0.13256290256083544,-0.13256290256083544,-0.13583606064876327,-0.13256290256083544
71,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778,-0.1096507959453778
72,-0.10637763785746857,-0.10637763785746857,-0.10637763785746857,-0.10637763785746857,-0.10637763785746857
73,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757
74,8.223809695903745,8.223809695903745,8.223809695903745,8.223809695903745,8.223809695903745
75,7.127301736449911,7.127301736449911,7.127301736449911,7.124028578362003,7.127301736449911
76,7.759021247418848,7.759021247418848,7.759021247418848,7.759021247418848,7.759021247418848
77,-0.12066646256548258,-0.12067466586692488,-0.12065825926404028,-0.12064185266115568,-0.12065005596259798
78,-0.11777890045779368,-0.11777890045779368,-0.117787103759236,-0.1177953070606783,-0.1177953070606783
79,-0.10720484489867156,-0.10722125150155618,-0.10720484489867156,-0.10722125150155618,-0.10719664159722928
80,-0.10417782666646358,-0.10419423326934815,-0.10419423326934815,-0.10417782666646358,-0.10416962336502128
81,7.752474931242993,7.752474931242993,7.752474931242993,7.752474931242993,7.752474931242993
82,7.955410732694164,7.952137574606238,7.955410732694164,7.952137574606238,7.955410732694164
83,7.9946886297492235,7.9946886297492235,7.9946886297492235,7.9946886297492235,7.9946886297492235
84,7.582270710671061,7.582270710671061,7.582270710671061,7.582270710671061,7.582270710671061
85,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
86,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
