heater_type,mzi_id,arm_index,port,configured_resistance_ohm,focus_3_4_path,voltage_v,measured_current_mA,current_std_mA,expected_current_mA,measured_resistance_ohm,relative_current_error,relative_current_std,status
network,7,1,9,511.5557342129538,False,0.0,-0.13583606064876327,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,8,0,14,514.1317715531885,False,4.0,7.493895442297178,0.0,7.780106621141167,533.7677888355806,-0.03678756510434666,0.0,OK
network,8,1,10,513.6152391977142,False,0.0,-0.1292897444729076,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,9,0,76,515.3478903835618,False,4.133,7.759021247418848,0.0,8.019825203754888,532.6702773722785,-0.03251990532336431,0.0,OK
network,9,1,72,516.2115913566885,False,0.0,-0.10637763785746857,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,10,0,75,542.2481278088666,True,4.332,7.127301736449911,0.0013092632351632716,7.988962576053296,607.8036485877412,-0.10785641206859453,0.00016388401155961773,ANOMALY
network,10,1,71,516.7381927827229,True,0.0,-0.1096507959453778,1.3877787807814457e-17,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,11,0,74,513.2659336360618,False,4.394,8.223809695903745,0.0,8.560864285054278,534.3022470703132,-0.03937156085267809,0.0,OK
network,11,1,70,515.6908871618543,False,0.0,-0.13256290256083544,0.0013092632351711319,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,12,0,73,518.8484989600095,False,4.16,7.762294405506757,8.881784197001252e-16,8.017754717106033,535.9240171370976,-0.031861826734889624,1.1077645189184692e-16,OK
network,12,1,69,517.6158092222656,False,0.0,-0.133340563293833,1.088290917050691e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,13,0,19,515.872379734469,True,4.119,7.706650718012096,0.0016035134325769144,7.98453292289101,534.4734244115947,-0.0348025623492951,0.00020082745579015287,OK
network,13,1,15,513.2659336360617,True,0.0,-0.13394760760056304,1.3726748804756792e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,14,0,20,512.4072808050088,True,4.285,8.050332317243885,0.0,8.362488513567026,532.2761634102347,-0.037328146498103856,0.0,OK
network,14,1,16,508.4817550515487,True,0.0,-0.13256290256083544,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,15,0,21,511.89419902401266,False,4.157,7.8572159900564955,0.0013092632351714428,8.120818731538307,529.0678028020087,-0.032460118886544584,0.00016122305871534115,OK
network,15,1,17,510.3487706841109,False,0.0,-0.12274342829707055,0.0,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,16,0,22,505.95816485201095,False,3.957,7.56590492023146,8.881784197001252e-16,7.82080471249514,523.0041933806043,-0.03259252744879721,1.1356611657635444e-16,OK
network,16,1,18,509.33194693518277,False,0.0,-0.1096507959453778,1.3877787807814457e-17,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,17,0,84,512.2326453225982,False,4.004,7.582270710671061,0.0,7.81676067810619,528.073996931406,-0.029998355724502043,0.0,OK
network,17,1,80,516.2163076572187,False,0.0,-0.10417782666646358,9.843961730747012e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,18,0,83,519.0299314222328,True,4.269,7.9946886297492235,8.881784197001252e-16,8.224959181645254,533.9795203673755,-0.027996558622430605,1.0798575410345821e-16,OK
network,18,1,79,511.8941990240126,True,0.0,-0.10720484489867156,9.843961730762741e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,19,0,82,516.2115913566885,False,4.255,7.955410732694164,0.0016035134325764792,8.24274400506421,534.8561052307867,-0.03485893437834704,0.00019453636211330913,OK
network,19,1,78,518.1450549805647,False,0.0,-0.117787103759236,7.337255865968128e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,20,0,81,512.0640000350625,False,4.131,7.752474931242993,0.0,8.067350955578089,532.8620907049688,-0.0390309069320181,0.0,OK
network,20,1,77,513.4408163499965,False,0.0,-0.12065825926404028,1.160122015593539e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,21,0,27,520.2666806586822,True,3.886,7.182945423944591,0.0,7.469246339358386,541.0036928647527,-0.038330629678815585,0.0,OK
