port,voltage_v,measured_current_mA,current_std_mA
47,0.0,-0.2373039613743401,0.0016035134325774172
48,4.23,7.896493887111555,0.0
49,3.062,5.726390074819347,0.0013092632351639822
50,0.0,4.1016507211564516e-06,0.0
51,0.0,-0.007378869647347073,1.227757737500545e-05
52,0.0,-0.007411682853116278,1.1127499466553149e-05
53,0.0,-0.007403479551673965,4.018780547980819e-06
54,0.0,-0.007362463044462447,8.365758826034686e-06
55,0.0,-4.1016507211564516e-06,0.0
56,0.0,4.1016507211564516e-06,0.0
57,0.0,-4.1016507211564516e-06,0.0
58,0.0,4.1016507211564516e-06,4.018780547980781e-06
59,0.0,-4.1016507211564516e-06,0.0
60,0.0,-4.1016507211564516e-06,0.0
61,0.0,-4.1016507211564516e-06,4.018780547980781e-06
62,0.0,-4.1016507211564516e-06,4.018780547980781e-06
63,0.0,4.1016507211564516e-06,4.018780547980781e-06
64,0.0,-4.1016507211564516e-06,4.018780547980781e-06
65,4.694,8.616588666454378,0.0
66,4.294,8.184531798848685,0.0
67,4.427,8.053605475331814,0.0013092632351707322
68,4.309,7.9783228393096035,0.0
69,0.0,-0.133340563293833,1.088290917050691e-05
70,0.0,-0.13256290256083544,0.0013092632351711319
71,0.0,-0.1096507959453778,1.3877787807814457e-17
72,0.0,-0.10637763785746857,0.0
73,4.16,7.762294405506757,8.881784197001252e-16
74,4.394,8.223809695903745,0.0
75,4.332,7.127301736449911,0.0013092632351632716
76,4.133,7.759021247418848,0.0
77,0.0,-0.12065825926404028,1.160122015593539e-05
78,0.0,-0.117787103759236,7.337255865968128e-06
79,0.0,-0.10720484489867156,9.843961730762741e-06
80,0.0,-0.10417782666646358,9.843961730747012e-06
81,4.131,7.752474931242993,0.0
82,4.255,7.955410732694164,0.0016035134325764792
83,4.269,7.9946886297492235,8.881784197001252e-16
84,4.004,7.582270710671061,0.0
85,0.0,4.1016507211564516e-06,0.0
86,0.0,-4.1016507211564516e-06,3.281320576925161e-06
87,0.0,-4.1016507211564516e-06,0.0
88,0.0,-4.1016507211564516e-06,4.018780547980781e-06
89,0.0,4.1016507211564516e-06,0.0
90,0.0,-4.1016507211564516e-06,0.0
91,0.0,-4.1016507211564516e-06,0.0
92,0.0,-4.1016507211564516e-06,0.0
93,0.0,4.1016507211564516e-06,0.0
94,0.0,-4.1016507211564516e-06,3.281320576925161e-06
95,0.0,-4.1016507211564516e-06,0.0
96,0.0,-4.1016507211564516e-06,0.0
97,0.0,-0.13011256417628875,9.171569832452402e-06
98,0.0,-0.13583606064876327,0.0
99,4.196,7.867035464320261,0.0
100,3.921,7.762294405506757,0.0
101,4.228,7.991415471661297,0.0
102,3.972,7.510261232736778,0.0
103,0.0,-0.09676614381334735,6.801818231572573e-06
104,0.0,-0.09867751304940278,0.07239958975347759
105,4.628,8.413652865003224,3.6244046835998662
106,4.235,7.788479670210142,3.34340977011311
107,4.604,8.380921284124002,3.6010776447246444
108,4.535,8.315458122365557,3.7170899786379032
109,0.0,-4.1016507211564516e-06,0.11639039762668679
110,0.0,4.1016507211564516e-06,0.11634303579554589
111,0.0,-4.1016507211564516e-06,0.1163903976266868
112,0.0,0.0,0.11639158167126029
113,0.0,4.1016507211564516e-06,0.11634303579554589
114,0.0,-4.1016507211564516e-06,0.11634658792926786
115,0.0,4.1016507211564516e-06,0.11634421988832036
116,0.0,-4.1016507211564516e-06,0.11638921353393145
117,0.0,4.1016507211564516e-06,0.11639276566765341
118,0.0,4.1016507211564516e-06,0.11634303579554589
119,0.0,-4.1016507211564516e-06,0.11634658792926786
120,0.0,4.1016507211564516e-06,0.11634421988832036
121,0.0,-4.1016507211564516e-06,0.11634658792926786
122,0.0,0.0,0.11634540393289386
123,0.0,-4.1016507211564516e-06,0.11638921353393145
124,0.0,4.1016507211564516e-06,0.11634421988832035
125,0.0,-4.1016507211564516e-06,0.11634658792926786
126,0.0,4.1016507211564516e-06,0.11634421988832036
127,0.0,-4.1016507211564516e-06,0.11639276566765341
128,0.0,-4.1016507211564516e-06,0.015178267393959862
