mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,iteration
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,383,383,9
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,383,383,9
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,383,383,9
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,383,383,9
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,383,383,9
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,405,405,1
2,45,3.903,7.663047130481661,,6.896742417433495,8.429351843529826,405,405,1
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,405,405,1
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,405,405,1
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,405,405,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,405,405,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,405,405,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,405,405,1
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,410,410,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,410,410,3
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,410,410,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,410,410,3
5,44,3.529,6.822414925450133,,6.14017343290512,7.504656417995146,410,410,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,410,410,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,410,410,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,410,410,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,423,423,2
2,45,4.112,8.073392211258158,,7.266052990132342,8.880731432383973,423,423,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,423,423,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,423,423,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,423,423,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,423,423,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,423,423,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,423,423,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,428,428,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,428,428,2
3,41,4.164,8.093643218673503,,7.284278896806152,8.903007540540854,428,428,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,428,428,2
5,44,3.68,7.114334634643381,,6.402901171179042,7.825768098107719,428,428,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,428,428,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,428,428,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,428,428,2
1,43,4.318,8.477847171257958,-107.25320764598062,7.630062454132162,9.325631888383754,431,431,4
2,45,3.922,7.70035122873407,-107.25320764598062,6.930316105860664,8.470386351607477,431,431,4
3,41,4.164,8.093643218673503,-107.25320764598062,7.284278896806152,8.903007540540854,431,431,4
4,48,4.23,8.304996428072716,-107.25320764598062,7.474496785265444,9.135496070879988,431,431,4
5,44,3.977,7.688507837493675,-107.25320764598062,6.919657053744308,8.457358621243042,431,431,4
6,46,4.329,8.428640695949365,-107.25320764598062,7.585776626354429,9.271504765544302,431,431,4
7,42,3.995,7.8306379376366815,-107.25320764598062,7.047574143873013,8.613701731400349,431,431,4
8,49,4.294,8.343622807807465,-107.25320764598062,7.5092605270267185,9.177985088588212,431,431,4
