switch_mzi,port,feature_coefficient,upload_voltage,target_chip_power_uw,target_leak_power,p_on_leak,p_off_leak,chip_power_max_uw,scan_path
6,46,0.32,3.914,62.725723251776,133.665888748224,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.33,3.906,64.685902103394,131.705709896606,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.34,3.898,66.646080955012,129.745531044988,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.35000000000000003,3.89,68.60625980663,127.78535219337,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.36,3.882,70.56643865824799,125.82517334175202,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.37,3.874,72.526617509866,123.86499449013401,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.38,3.866,74.486796361484,121.90481563851601,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.39,3.858,76.44697521310201,119.944636786898,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.4,3.85,78.40715406472,117.98445793528,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.41000000000000003,3.842,80.367332916338,116.02427908366201,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.42,3.834,82.327511767956,114.06410023204401,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.43,3.826,84.287690619574,112.10392138042602,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.44,3.818,86.247869471192,110.143742528808,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.45,3.81,88.20804832281,108.18356367719001,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.46,3.801,90.168227174428,106.22338482557201,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.47000000000000003,3.793,92.12840602604601,104.263205973954,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.48,3.785,94.08858487766399,102.30302712233602,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.49,3.777,96.048763729282,100.34284827071801,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
6,46,0.5,3.769,98.0089425809,98.38266941910001,0.37372683820000385,196.391612,196.0178851618,Scandata-backup-04\1Col\power_data\46.txt
