observed_mzi,bmzi,perturbed_heater,delta_power_w,beta_base,beta_pert,delta_beta,sigma_coeff,relative_sigma_link_rad,J_sigma_link_rad_per_w,baseline_rmse_uW,perturbed_rmse_uW,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning,bmzi_global_delta_sigma_rad,global_delta_sigma_rad,J_sigma_global_rad_per_w
6,5,6d,0.001,-1.5276321638393258,-1.4394553126738914,0.08817685116543439,2.0,0.17635370233086878,176.35370233086877,0.8110106059533148,0.8922558072552027,False,,,False,,,sigma_coeff default +2,-0.04724489340488791,0.12910880892598087,129.10880892598087
7,6,6d,0.001,-1.2875200005544654,-1.3617247647981434,-0.07420476424367806,2.0,-0.1484095284873561,-148.4095284873561,0.05883477636996996,0.05918400172353162,False,,,False,,,sigma_coeff default +2,0.12910880892598087,-0.019300719561375246,-19.300719561375246
8,7,6d,0.001,-0.9502147465506217,-0.9855027609072367,-0.035288014356614994,2.0,-0.07057602871322999,-70.57602871322999,0.026893529375338242,0.07614261638587068,False,,,False,,,sigma_coeff default +2,-0.019300719561375246,-0.08987674827460523,-89.87674827460523
5,0,7u,0.001,0.19488860793125573,0.19437042509737612,-0.0005181828338796102,2.0,-0.0010363656677592203,-1.0363656677592203,0.9565399830778847,0.9676149458983158,False,,,True,5,4.495586274261961,sigma_coeff default +2,0.0,-0.0010363656677592203,-1.0363656677592203
6,5,7u,0.001,-1.5276321638393258,-1.5325343457852607,-0.004902181945935169,2.0,-0.009804363891870338,-9.804363891870338,0.8110106059533148,0.9554641377687744,False,,,True,2,6.0125168165720595,sigma_coeff default +2,-0.0010363656677592203,-0.010840729559629558,-10.840729559629558
7,6,7u,0.001,-1.2875200005544654,-1.2868023816605914,0.0007176188938737837,2.0,0.0014352377877475675,1.4352377877475675,0.05883477636996996,0.06035517152293145,False,,,False,,,sigma_coeff default +2,-0.010840729559629558,-0.00940549177188199,-9.40549177188199
8,7,7u,0.001,-0.9502147465506217,-1.016550538266567,-0.06633579171594528,2.0,-0.13267158343189056,-132.67158343189055,0.026893529375338242,0.031762107670125904,False,,,False,,,sigma_coeff default +2,-0.00940549177188199,-0.14207707520377255,-142.07707520377255
5,0,7d,0.001,0.19488860793125573,0.19387077911527317,-0.0010178288159825577,2.0,-0.0020356576319651154,-2.0356576319651154,0.9565399830778847,0.982145093692396,False,,,True,5,5.132222059283211,sigma_coeff default +2,0.0,-0.0020356576319651154,-2.0356576319651154
6,5,7d,0.001,-1.5276321638393258,-1.5320283877196235,-0.0043962238802977005,2.0,-0.008792447760595401,-8.792447760595401,0.8110106059533148,0.6367508483748383,False,,,True,4,3.7984078103420447,sigma_coeff default +2,-0.0020356576319651154,-0.010828105392560516,-10.828105392560516
7,6,7d,0.001,-1.2875200005544654,-1.1870556261924319,0.10046437436203348,2.0,0.20092874872406696,200.92874872406696,0.05883477636996996,0.10037911218629117,False,,,False,,,sigma_coeff default +2,-0.010828105392560516,0.19010064333150645,190.10064333150643
8,7,7d,0.001,-0.9502147465506217,-1.0383886136791989,-0.08817386712857722,2.0,-0.17634773425715444,-176.34773425715443,0.026893529375338242,0.03348294900993929,False,,,False,,,sigma_coeff default +2,0.19010064333150645,0.013752909074352004,13.752909074352004
5,0,8u,0.001,0.19488860793125573,0.19494205459096392,5.3446659708189515e-05,2.0,0.00010689331941637903,0.10689331941637903,0.9565399830778847,0.9488370174600496,False,,,False,,,sigma_coeff default +2,0.0,0.00010689331941637903,0.10689331941637903
6,5,8u,0.001,-1.5276321638393258,-1.5321760945118772,-0.004543930672551433,2.0,-0.009087861345102866,-9.087861345102866,0.8110106059533148,1.1979033975688558,False,,,False,,,sigma_coeff default +2,0.00010689331941637903,-0.008980968025686487,-8.980968025686487
7,6,8u,0.001,-1.2875200005544654,-1.2839125987884579,0.003607401766007712,2.0,0.007214803532015424,7.214803532015424,0.05883477636996996,0.06171355819686192,False,,,False,,,sigma_coeff default +2,-0.008980968025686487,-0.001766164493671063,-1.766164493671063
8,7,8u,0.001,-0.9502147465506217,-0.9499917534197801,0.00022299313084150896,2.0,0.0004459862616830179,0.4459862616830179,0.026893529375338242,0.030321374337471146,False,,,True,1,0.2651937555131012,sigma_coeff default +2,-0.001766164493671063,-0.001320178231988045,-1.320178231988045
5,0,8d,0.001,0.19488860793125573,0.19484235534537397,-4.62525858817564e-05,2.0,-9.25051717635128e-05,-0.0925051717635128,0.9565399830778847,0.9745338293857457,False,,,False,,,sigma_coeff default +2,0.0,-9.25051717635128e-05,-0.0925051717635128
6,5,8d,0.001,-1.5276321638393258,-1.5322977171661492,-0.004665553326823613,2.0,-0.009331106653647225,-9.331106653647225,0.8110106059533148,0.9497082704408655,False,,,False,,,sigma_coeff default +2,-9.25051717635128e-05,-0.009423611825410738,-9.423611825410738
7,6,8d,0.001,-1.2875200005544654,-1.2845131615124858,0.0030068390419795143,2.0,0.006013678083959029,6.013678083959029,0.05883477636996996,0.06572102652920067,False,,,True,3,0.5762067327443104,sigma_coeff default +2,-0.009423611825410738,-0.0034099337414517095,-3.4099337414517095
