observed_mzi,probe_arm,perturbed_heater,delta_power_w,eta_base,eta_pert,delta_eta_rad,delta_delta_rad,J_delta_rad_per_w,baseline_rmse_uW,perturbed_rmse_uW,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning
7,u,6u,0.001,1.8984676237610607,1.898470011579298,2.3878182373593404e-06,2.3878182373593404e-06,0.0023878182373593404,0.027451138037606286,0.026202712910013304,False,,,False,,,
8,u,6u,0.001,0.9043753243391794,0.7958772402211496,-0.10849808411802986,-0.10849808411802986,-108.49808411802985,0.05345196692701675,0.04954034060564354,False,,,True,0,1.8681716999368763,
5,u,6d,0.001,2.5628783075122357,2.6814764952506165,0.11859818773838082,0.11859818773838082,118.59818773838082,0.02099382072727947,0.02763100072100415,False,,,False,,,
6,u,6d,0.001,1.312828543220041,1.2209720659946788,-0.09185647722536228,-0.09185647722536228,-91.85647722536227,0.025364068996217924,0.04358724338058791,False,,,False,,,
7,u,6d,0.001,1.8984676237610607,1.9072953500836682,0.008827726322607532,0.008827726322607532,8.827726322607532,0.027451138037606286,0.022292631563454512,False,,,False,,,
8,u,6d,0.001,0.9043753243391794,0.9340397905761844,0.029664466237004916,0.029664466237004916,29.664466237004916,0.05345196692701675,0.026299952985408562,False,,,False,,,
5,u,7u,0.001,2.5628783075122357,2.6628092674120536,0.09993095989981793,0.09993095989981793,99.93095989981792,0.02099382072727947,0.013641966194054602,False,,,False,,,
6,u,7u,0.001,1.312828543220041,1.37301617537441,0.06018763215436884,0.06018763215436884,60.18763215436884,0.025364068996217924,0.01490330720590428,False,,,False,,,
7,u,7u,0.001,1.8984676237610607,2.066115353505154,0.16764772974409325,0.16764772974409325,167.64772974409325,0.027451138037606286,0.03206564900573132,False,,,False,,,
8,u,7u,0.001,0.9043753243391794,0.8706838193746682,-0.03369150496451123,-0.03369150496451123,-33.69150496451123,0.05345196692701675,0.04870178254668017,False,,,False,,,
5,u,7d,0.001,2.5628783075122357,2.7039283959616593,0.14105008844942368,0.14105008844942368,141.05008844942367,0.02099382072727947,0.04515671337409072,False,,,False,,,
6,u,7d,0.001,1.312828543220041,1.3247363286498928,0.011907785429851714,0.011907785429851714,11.907785429851714,0.025364068996217924,0.007122123771284415,False,,,False,,,
7,u,7d,0.001,1.8984676237610607,1.7121999523177323,-0.18626767144332845,-0.18626767144332845,-186.26767144332845,0.027451138037606286,0.02054173521872805,False,,,False,,,
8,u,7d,0.001,0.9043753243391794,1.1716660841378008,0.2672907597986214,0.2672907597986214,267.29075979862137,0.05345196692701675,0.17401876862045562,False,,,False,,,
5,u,8u,0.001,2.5628783075122357,2.6500520960160525,0.08717378850381685,0.08717378850381685,87.17378850381685,0.02099382072727947,0.04243789178217504,False,,,False,,,
6,u,8u,0.001,1.312828543220041,1.3727151614194888,0.05988661819944774,0.05988661819944774,59.88661819944774,0.025364068996217924,0.017626233576380813,False,,,False,,,
7,u,8u,0.001,1.8984676237610607,1.912119878873952,0.013652255112891254,0.013652255112891254,13.652255112891254,0.027451138037606286,0.021059574579733027,False,,,False,,,
8,u,8u,0.001,0.9043753243391794,1.1082021351576863,0.20382681081850684,0.20382681081850684,203.82681081850683,0.05345196692701675,0.0339520492165465,False,,,False,,,
5,u,8d,0.001,2.5628783075122357,2.5963139023251633,0.03343559481292768,0.03343559481292768,33.43559481292768,0.02099382072727947,0.03217248732068421,False,,,False,,,
6,u,8d,0.001,1.312828543220041,1.350590639755164,0.03776209653512286,0.03776209653512286,37.76209653512286,0.025364068996217924,0.018914708779455662,False,,,False,,,
7,u,8d,0.001,1.8984676237610607,1.9131887425327232,0.01472111877166249,0.01472111877166249,14.72111877166249,0.027451138037606286,0.03796953685992655,False,,,False,,,
8,u,8d,0.001,0.9043753243391794,0.7214891853404026,-0.18288613899877681,-0.18288613899877681,-182.8861389987768,0.05345196692701675,0.048264532475027364,False,,,False,,,
