global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_role,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
7,2,optimized,,2,0.0028518212963439798,0.00273007872706224,MZI2_arm0,previous_layer_compensation,67,2,0,4.436,4.439506204498638,-0.035062044986380846,True,1,0.1
7,2,optimized,,2,0.00273007872706224,0.002723949896034885,MZI3_arm0,previous_layer_compensation,66,3,0,4.293,4.292609199671191,0.003908003288089452,True,1,0.1
7,2,optimized,,2,0.002723949896034885,0.0027211378168518307,MZI4_arm0,previous_layer_compensation,68,4,0,4.309,4.309120988231548,-0.0012098823154772567,True,1,0.1
7,2,optimized,,2,0.0027211378168518307,0.0027170934368379194,MZI1_arm0,previous_layer_compensation,65,1,0,4.694,4.693909554702534,0.0009044529746553935,True,1,0.1
7,2,optimized,,3,0.0027139735958621805,0.002632784063035239,MZI6_arm1,current_layer,8,6,1,3.59,3.593363074621402,-0.03363074621402109,True,1,0.1
7,2,optimized,,3,0.002632784063035239,0.002585053298378794,MZI6_arm0,current_layer,12,6,0,2.681,2.6789809485982627,0.020190514017371475,True,1,0.1
7,2,optimized,,3,0.002585053298378794,0.0025556702304979904,MZI7_arm1,current_layer,9,7,1,3.511,3.512842903985363,-0.01842903985362976,True,1,0.1
7,2,optimized,,3,0.0025556702304979904,0.0025556702304979904,MZI5_arm0,current_layer,11,5,0,3.998,3.998,-0.005085460909306635,False,7,0.1
7,2,optimized,,3,0.0025556702304979904,0.002534410658582534,MZI7_arm0,current_layer,13,7,0,2.903,2.9023712619351403,0.012574761297198311,True,2,0.05
7,2,optimized,,3,0.002534410658582534,0.00252784163932883,MZI5_arm1,current_layer,7,5,1,4.573,4.5722474964414,0.007525035586005864,True,1,0.1
7,2,optimized,,3,0.00252784163932883,0.0024375765776699543,MZI2_arm0,previous_layer_compensation,67,2,0,4.44,4.443188501520792,-0.031885015207913946,True,1,0.1
7,2,optimized,,3,0.0024375765776699543,0.0024375765776699543,MZI3_arm0,previous_layer_compensation,66,3,0,4.293,4.293,0.0026218442260708486,False,7,0.1
