local_sample_row,sample_index,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
8,8,8,0.0,0.00020556712832672536,0.00020556712832672536,0.0,0.0,4.294,4.294,7.018009e-07,True,0.0020846117113587637
9,9,1,0.0,3.0044550954953656e-05,3.0044550954953656e-05,0.0,0.0,4.318,4.318,2.379786e-07,True,0.00041245645360932226
9,9,2,0.0,0.00012137372143743494,0.00012137372143743494,0.0,0.0,4.261,4.261,1.112736e-06,True,0.00041245645360932226
9,9,3,0.0,-0.0005192880312606535,-0.0005192880312606535,0.0,0.0,4.164,4.164,7.064558e-06,True,0.00041245645360932226
9,9,4,0.9607843137254904,0.9611967701790998,0.00041245645360932226,0.9607843137254904,0.9607843137254904,3.476,3.476,0.0002561277,True,0.00041245645360932226
9,9,5,0.0,0.00015142025968864145,0.00015142025968864145,0.0,0.0,3.977,3.977,3.481008e-06,True,0.00041245645360932226
9,9,6,0.0,9.173859052187154e-05,9.173859052187154e-05,0.0,0.0,4.329,4.329,7.132763e-07,True,0.00041245645360932226
9,9,7,0.0,0.000175854439959257,0.000175854439959257,0.0,0.0,3.995,3.995,7.21171e-07,True,0.00041245645360932226
9,9,8,0.0,0.0001921862992869541,0.0001921862992869541,0.0,0.0,4.294,4.294,9.308629e-07,True,0.00041245645360932226
10,10,1,0.0,8.549577693227675e-05,8.549577693227675e-05,0.0,0.0,4.318,4.318,3.617164e-07,True,0.0038310852622088776
10,10,2,0.0,0.00019698726656786677,0.00019698726656786677,0.0,0.0,4.261,4.261,6.826146e-07,True,0.0038310852622088776
10,10,3,0.0,0.00039611763763966923,0.00039611763763966923,0.0,0.0,4.164,4.164,1.614986e-06,True,0.0038310852622088776
10,10,4,0.0,6.599151988074398e-06,6.599151988074398e-06,0.0,0.0,4.23,4.23,2.630008e-06,True,0.0038310852622088776
10,10,5,0.9333333333333332,0.9295022480711244,-0.0038310852622088776,0.9333333333333332,0.9333333333333332,3.359,3.359,0.0001719831,True,0.0038310852622088776
10,10,6,0.0,0.000335434784015415,0.000335434784015415,0.0,0.0,4.329,4.329,1.033362e-06,True,0.0038310852622088776
10,10,7,0.0,0.00033845190198573825,0.00033845190198573825,0.0,0.0,3.995,3.995,9.77822e-07,True,0.0038310852622088776
10,10,8,0.0,0.0003546378159995315,0.0003546378159995315,0.0,0.0,4.294,4.294,7.025375e-07,True,0.0038310852622088776
11,11,1,0.0,5.85434939772045e-05,5.85434939772045e-05,0.0,0.0,4.318,4.318,2.37752e-07,True,0.0015837395618715222
11,11,2,0.0,0.00021296722628217596,0.00021296722628217596,0.0,0.0,4.261,4.261,1.100499e-06,True,0.0015837395618715222
11,11,3,0.0,-0.0010165641948887104,-0.0010165641948887104,0.0,0.0,4.164,4.164,6.725942e-06,True,0.0015837395618715222
11,11,4,0.9333333333333332,0.9317495937714617,-0.0015837395618715222,0.9333333333333332,0.9333333333333332,3.494,3.494,0.0002482728,True,0.0015837395618715222
11,11,5,0.0,0.00033213120988117087,0.00033213120988117087,0.0,0.0,3.977,3.977,3.408406e-06,True,0.0015837395618715222
11,11,6,0.0,0.00016386934034764503,0.00016386934034764503,0.0,0.0,4.329,4.329,7.05734e-07,True,0.0015837395618715222
11,11,7,0.0,0.000322791853287676,0.000322791853287676,0.0,0.0,3.995,3.995,7.21837e-07,True,0.0015837395618715222
11,11,8,0.0,0.0003489890154439798,0.0003489890154439798,0.0,0.0,4.294,4.294,9.250056e-07,True,0.0015837395618715222
12,12,1,0.0,5.896617918798241e-05,5.896617918798241e-05,0.0,0.0,4.318,4.318,3.641757e-07,True,0.0038369925470895794
12,12,2,0.0,0.00013826165939865177,0.00013826165939865177,0.0,0.0,4.261,4.261,6.849081e-07,True,0.0038369925470895794
12,12,3,0.0,0.00026536652112199566,0.00026536652112199566,0.0,0.0,4.164,4.164,1.621286e-06,True,0.0038369925470895794
12,12,4,0.0,-7.79380397780867e-06,-7.79380397780867e-06,0.0,0.0,4.23,4.23,2.690177e-06,True,0.0038369925470895794
12,12,5,0.9568627450980391,0.9530257525509496,-0.0038369925470895794,0.9568627450980391,0.9568627450980391,3.348,3.348,0.0001763353,True,0.0038369925470895794
12,12,6,0.0,0.0002732361253806907,0.0002732361253806907,0.0,0.0,4.329,4.329,1.045899e-06,True,0.0038369925470895794
12,12,7,0.0,0.00023821111605902182,0.00023821111605902182,0.0,0.0,3.995,3.995,9.859103e-07,True,0.0038369925470895794
12,12,8,0.0,0.00024186292152934136,0.00024186292152934136,0.0,0.0,4.294,4.294,7.03075e-07,True,0.0038369925470895794
13,13,1,0.0,4.000095956989088e-05,4.000095956989088e-05,0.0,0.0,4.318,4.318,2.391729e-07,True,0.0010154037182382725
13,13,2,0.0,0.00012300480512307115,0.00012300480512307115,0.0,0.0,4.261,4.261,1.10942e-06,True,0.0010154037182382725
13,13,3,0.0,-0.0007043788630811607,-0.0007043788630811607,0.0,0.0,4.164,4.164,6.995452e-06,True,0.0010154037182382725
13,13,4,0.9568627450980391,0.9578781488162774,0.0010154037182382725,0.9568627450980391,0.9568627450980391,3.479,3.479,0.0002552404,True,0.0010154037182382725
13,13,5,0.0,0.00022706915010763454,0.00022706915010763454,0.0,0.0,3.977,3.977,3.482932e-06,True,0.0010154037182382725
13,13,6,0.0,7.442655058005913e-05,7.442655058005913e-05,0.0,0.0,4.329,4.329,7.076146e-07,True,0.0010154037182382725
13,13,7,0.0,0.0002015464904673095,0.0002015464904673095,0.0,0.0,3.995,3.995,7.224705e-07,True,0.0010154037182382725
13,13,8,0.0,0.00022008551211145618,0.00022008551211145618,0.0,0.0,4.294,4.294,9.315547e-07,True,0.0010154037182382725
14,14,1,0.0,0.0002556737873488419,0.0002556737873488419,0.0,0.0,4.318,4.318,3.470791e-07,True,0.012861738021204272
14,14,2,0.0,0.0006360986901470002,0.0006360986901470002,0.0,0.0,4.261,4.261,6.827536e-07,True,0.012861738021204272
14,14,3,0.0,0.0012658963375364938,0.0012658963375364938,0.0,0.0,4.164,4.164,1.583183e-06,True,0.012861738021204272
14,14,4,0.0,-1.699516538415484e-05,-1.699516538415484e-05,0.0,0.0,4.23,4.23,2.215875e-06,True,0.012861738021204272
14,14,5,0.7921568627450978,0.7792951247238935,-0.012861738021204272,0.7921568627450978,0.7921568627450978,3.425,3.425,0.0001441926,True,0.012861738021204272
14,14,6,0.0,0.0011430766203185273,0.0011430766203185273,0.0,0.0,4.329,4.329,1.030866e-06,True,0.012861738021204272
14,14,7,0.0,0.0010820476650404292,0.0010820476650404292,0.0,0.0,3.995,3.995,9.428101e-07,True,0.012861738021204272
14,14,8,0.0,0.0010898068345407876,0.0010898068345407876,0.0,0.0,4.294,4.294,7.017343e-07,True,0.012861738021204272
15,15,1,0.0,0.0001801398696517388,0.0001801398696517388,0.0,0.0,4.318,4.318,2.356237e-07,True,0.005720501672780487
15,15,2,0.0,0.000673992880721739,0.000673992880721739,0.0,0.0,4.261,4.261,1.054677e-06,True,0.005720501672780487
15,15,3,0.0,-0.0029352837115033496,-0.0029352837115033496,0.0,0.0,4.164,4.164,5.26803e-06,True,0.005720501672780487
15,15,4,0.7921568627450978,0.7978773644178783,0.005720501672780487,0.7921568627450978,0.7921568627450978,3.577,3.577,0.0002125677,True,0.005720501672780487
15,15,5,0.0,0.0007510942624996148,0.0007510942624996148,0.0,0.0,3.977,3.977,3.004048e-06,True,0.005720501672780487
15,15,6,0.0,0.0004230220005134116,0.0004230220005134116,0.0,0.0,4.329,4.329,6.582434e-07,True,0.005720501672780487
15,15,7,0.0,0.0009568161968218952,0.0009568161968218952,0.0,0.0,3.995,3.995,7.195357e-07,True,0.005720501672780487
15,15,8,0.0,0.0010644786480560788,0.0010644786480560788,0.0,0.0,4.294,4.294,8.98593e-07,True,0.005720501672780487
16,16,1,0.0,0.00038898937571143805,0.00038898937571143805,0.0,0.0,4.318,4.318,3.380713e-07,True,0.016660296177076095
16,16,2,0.0,0.0009449622822846602,0.0009449622822846602,0.0,0.0,4.261,4.261,6.803327e-07,True,0.016660296177076095
16,16,3,0.0,0.001915016284816283,0.001915016284816283,0.0,0.0,4.164,4.164,1.563688e-06,True,0.016660296177076095
