sample_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,expected_input_power_0,expected_input_power_1,expected_input_power_2,expected_input_power_3,expected_input_power_4,expected_input_power_5,expected_input_power_6,expected_input_power_7,feature_sum,expected_input_power_sum,feature_min,feature_max,feature_valid,finite_ok,nonnegative_ok,sum_ok,upper_bound_ok,nonzero_ok,feature_validation_mode
891,0.0,0.0,0.0,0.5450980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.41176470588236,0.0,0.0,0.0,0.0,0.5450980392156863,65.41176470588236,0.0,0.5450980392156863,True,True,True,True,True,True,bounded
892,0.0,0.0,0.0,0.0,0.6392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70588235294117,0.0,0.0,0.0,0.6392156862745098,76.70588235294117,0.0,0.6392156862745098,True,True,True,True,True,True,bounded
893,0.0,0.0,0.0,0.6392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70588235294117,0.0,0.0,0.0,0.0,0.6392156862745098,76.70588235294117,0.0,0.6392156862745098,True,True,True,True,True,True,bounded
894,0.0,0.0,0.8352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23529411764706,0.0,0.0,0.0,0.0,0.0,0.8352941176470589,100.23529411764706,0.0,0.8352941176470589,True,True,True,True,True,True,bounded
895,0.0,0.8352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.8352941176470589,100.23529411764706,0.0,0.8352941176470589,True,True,True,True,True,True,bounded
896,0.0,0.0,0.0313725490196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7647058823529362,0.0,0.0,0.0,0.0,0.0,0.0313725490196078,3.7647058823529362,0.0,0.0313725490196078,True,True,True,True,True,True,bounded
897,0.0,0.0313725490196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7647058823529362,0.0,0.0,0.0,0.0,0.0,0.0,0.0313725490196078,3.7647058823529362,0.0,0.0313725490196078,True,True,True,True,True,True,bounded
898,0.0,0.0,0.9254901960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.05882352941177,0.0,0.0,0.0,0.0,0.0,0.9254901960784314,111.05882352941177,0.0,0.9254901960784314,True,True,True,True,True,True,bounded
899,0.0,0.9254901960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.05882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.9254901960784314,111.05882352941177,0.0,0.9254901960784314,True,True,True,True,True,True,bounded
900,0.0,0.0,0.0,0.0,0.784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11764705882351,0.0,0.0,0.0,0.784313725490196,94.11764705882351,0.0,0.784313725490196,True,True,True,True,True,True,bounded
901,0.0,0.0,0.0,0.784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11764705882351,0.0,0.0,0.0,0.0,0.784313725490196,94.11764705882351,0.0,0.784313725490196,True,True,True,True,True,True,bounded
902,0.0,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99999999999999,0.0,0.0,0.0,0.1999999999999999,23.99999999999999,0.0,0.1999999999999999,True,True,True,True,True,True,bounded
