mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
21,6,1,23,3.725,0.0,2.356194573824906,2.356194573824906,0,0,0,2.356194573824906,2.356194573824906,4.569765282927796,4.569765282927796,inter_cali_pair_pi0_prebiased
22,6,0,28,5.183,3.141592653589793,5.575503947419236e-08,5.575503947419236e-08,0,0,0,-3.1415925978347534,-3.1415925978347534,4.193443191826764,4.193443191826764,inter_cali_pair_pi0_prebiased
22,6,1,24,3.404,0.0,-1.5707962710398553,4.712389036139731,1,0,1,4.712389036139731,4.712389036139731,5.037513671389968,5.037513671389968,inter_cali_pair_pi0_prebiased
23,6,0,29,4.904,3.141592653589793,1.5707963825499363,1.5707963825499363,0,0,0,-1.5707962710398569,-1.5707962710398569,4.432937247085302,4.432937247085302,inter_cali_pair_pi0_prebiased
23,6,1,25,5.038,0.0,0.0,0.0,0,0,0,0.0,0.0,5.038,5.038,inter_cali_pair_pi0_prebiased
24,6,0,26,4.582,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,4.582,4.582,inter_cali_pair_pi0_prebiased
24,6,1,30,4.693,0.0,0.0,0.0,0,0,0,0.0,0.0,4.693,4.693,inter_cali_pair_pi0_prebiased
25,7,0,100,3.921,3.141592653589793,1.570796298917376,1.570796298917376,0,0,0,-1.570796354672417,-1.570796354672417,3.3436493943853525,3.3436493943853525,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
25,7,1,104,0.0,0.0,-1.570796354672417,4.712388952507169,1,0,1,4.712388952507169,4.712388952507169,3.623979962374513,3.623979962374513,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
26,7,0,99,4.165,3.141592653589793,4.712388952507169,4.712388952507169,0,0,0,1.5707962989173758,1.5707962989173758,4.668951324280177,4.668951324280177,inter_cali_pair_pi0_prebiased
26,7,1,103,4.198,0.0,1.570796298917376,1.570796298917376,0,0,0,1.570796298917376,1.570796298917376,4.700741843545145,4.700741843545145,inter_cali_pair_pi0_prebiased
27,7,0,102,3.836,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,2.4126292668528047,2.4126292668528047,inter_cali_pair_pi0_prebiased
27,7,1,98,4.083,0.0,0.0,0.0,0,0,0,0.0,0.0,4.083,4.083,inter_cali_pair_pi0_prebiased
28,7,0,101,3.877,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,2.4784081912669467,2.4784081912669467,inter_cali_pair_pi0_prebiased
28,7,1,97,3.908,0.0,3.141592653589793,3.141592653589793,0,0,0,3.141592653589793,3.141592653589793,4.936218933522187,4.936218933522187,inter_cali_pair_pi0_prebiased
