heater_type,mzi_id,arm_index,port,configured_resistance_ohm,focus_3_4_path,voltage_v,measured_current_mA,current_std_mA,expected_current_mA,measured_resistance_ohm,relative_current_error,relative_current_std,status
network,15,0,21,511.89419902401266,False,4.157,7.87030862240819,0.0,8.120818731538307,528.1876733733503,-0.030847888299393576,0.0,OK
network,15,1,17,510.3487706841109,False,0.0,-0.11051077537991764,9.740880756893451e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,16,0,22,505.95816485201095,False,3.957,7.562631762143532,0.0009819474263783158,7.82080471249514,523.2305531267118,-0.033011046796646196,0.00012555580435469492,OK
network,16,1,18,509.33194693518277,False,0.0,-0.10270123240684995,9.566611217785624e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,17,0,84,512.2326453225982,False,4.004,7.578997552583133,8.881784197001252e-16,7.81676067810619,528.3020573921843,-0.030417091595115995,1.1362487048987012e-16,OK
network,17,1,80,516.2163076572187,False,0.0,-0.10800056513857446,1.001340552880972e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,18,0,83,519.0299314222328,True,4.269,7.991415471661297,0.0009819474263780491,8.224959181645254,534.198229980469,-0.028394512948481384,0.00011938629781523467,OK
network,18,1,79,511.8941990240126,True,0.0,-0.11094555035635943,1.0408822643832097e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,19,0,82,516.2115913566885,False,4.255,7.952137574606238,8.881784197001252e-16,8.24274400506421,535.0762559223823,-0.03525603006467613,1.0775276038591548e-16,OK
network,19,1,78,518.1450549805647,False,0.0,-0.11818906552990859,1.5236956166128124e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,20,0,81,512.0640000350625,False,4.131,7.749201773155082,1.7763568394002505e-15,8.067350955578089,533.087164449722,-0.03943663591367937,2.2019084693123538e-16,OK
network,20,1,77,513.4408163499965,False,0.0,-0.12073208897702097,8.835226045878934e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,21,0,27,520.2666806586822,True,3.886,7.186218582032518,0.0,7.469246339358386,540.7572780649961,-0.03789241169279467,0.0,OK
network,21,1,23,519.0229205586397,True,0.0,-0.2798550165173275,0.0013092632351636934,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,22,0,28,521.1519958260816,True,3.894,7.176399107768754,0.0,7.471908447414836,542.6119620053714,-0.0395493790810999,0.0,OK
network,22,1,24,525.1175465365234,True,0.0,-0.2798550165173275,0.001309263235171132,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,23,0,29,510.5292982664572,False,4.058,7.683738611396637,8.881784197001252e-16,7.948613358291603,528.1283246649116,-0.033323390502905996,1.117400456739566e-16,OK
network,23,1,25,511.3817957574308,False,0.0,-0.11344755729626035,1.050535165843826e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,24,0,26,509.33194693518107,False,4.084,7.77538703785845,8.881784197001252e-16,8.018346433155783,525.2471652041186,-0.03030043629602955,1.1076827711353507e-16,OK
network,24,1,30,510.52085848376345,False,0.0,-0.10583079190708665,1.3945612451906848e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,25,0,100,488.47677429544194,False,3.921,7.762294405506757,8.881784197001252e-16,8.026993720746464,505.13415172946145,-0.03297614579609911,1.106489491083755e-16,OK
network,25,1,104,512.4072808050087,False,0.0,-0.09741010297656774,1.3945612451909215e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,26,0,99,515.347890383562,True,4.196,7.867035464320261,8.881784197001252e-16,8.142072720773164,533.3648258013222,-0.033779759268323786,1.0908505120988216e-16,OK
network,26,1,103,513.2659336360588,True,0.0,-0.09554795354916606,1.2708499947973453e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,27,0,102,512.5803057759402,False,3.972,7.510261232736778,8.881784197001252e-16,7.749029674456993,528.8764101422051,-0.030812689039927572,1.1461801761165196e-16,OK
network,27,1,98,509.5044815813442,False,0.0,-0.1284760055385503,1.3824449317469602e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,28,0,101,509.50448158134316,False,4.228,7.991415471661297,0.0,8.298258705944264,529.0677246093753,-0.03697682190399379,0.0,OK
network,28,1,97,518.8484989600064,False,0.0,-0.12973111065922188,8.24421591776128e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,29,0,33,513.2701060266568,True,3.928,7.379334909219907,0.0009819474263783156,7.652890659087008,532.2972934989397,-0.03574541464829136,0.000128310656733656,OK
network,29,1,34,512.7510218079893,True,0.0,-0.1921951494916001,1.9150800043734903e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,30,0,38,512.9298317521508,True,4.057,7.6248217658140485,8.881784197001252e-16,7.909463924415212,532.0780110808089,-0.03598754116856387,1.1229312481702645e-16,OK
network,30,1,35,510.1846535453303,True,0.0,-0.1850213623803105,7.518449961576007e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,31,0,36,509.331946935181,False,4.0,7.598636501110663,0.0,7.853424518272071,526.4102315481647,-0.03244291920914354,0.0,OK
network,31,1,37,511.3817957574307,False,0.0,-0.16267146760076956,1.372674880477504e-05,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,32,0,40,511.89419902401255,False,3.992,7.539719655528074,0.0,7.798486498989879,529.4626567544976,-0.033181674866696556,0.0,OK
network,32,1,39,513.7861779903174,False,0.0,-0.15516954843178804,7.151472398058938e-06,0.0,-0.0,,,LOW_VOLTAGE_NOT_ASSESSED
network,33,0,106,515.3478903835618,False,4.235,7.788479670210142,0.0,8.21774975511782,543.7518205508437,-0.052236938054768436,0.0,OK
network,34,0,108,514.136198053936,True,4.535,8.315458122365557,0.0,8.82061993916299,545.3698320965023,-0.05727055697690208,0.0,OK
network,35,0,105,517.0962998222063,False,4.628,8.413652865003224,1.7763568394002505e-15,8.949977018963875,550.0583485266274,-0.059924640345360394,1.984761341438502e-16,OK
network,36,0,107,516.397588508255,False,4.604,8.380921284124002,0.0,8.915610960345145,549.3429473823322,-0.05997229787160253,0.0,OK
