port,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA,current_sample_6_mA,current_sample_7_mA,current_sample_8_mA,current_sample_9_mA,current_sample_10_mA
71,-0.10714742178857548,-0.10714742178857548,-0.10713101518569089,-0.10713101518569089,-0.10713921848713318,-0.10713921848713318,-0.10713101518569089,-0.10713101518569089,-0.10714742178857548,-0.10714742178857548
72,-0.10464541484867455,-0.10464541484867455,-0.10462080494434767,-0.10462900824578997,-0.10465361815011687,-0.10462080494434767,-0.10462900824578997,-0.10464541484867455,-0.10463721154723227,-0.10463721154723227
73,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685,7.765567563594685
74,8.220536537815835,8.217263379727909,8.220536537815835,8.220536537815835,8.220536537815835,8.220536537815835,8.220536537815835,8.220536537815835,8.220536537815835,8.220536537815835
75,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003,7.124028578362003
76,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919,7.755748089330919
77,-0.12074029227846327,-0.12071568237413637,-0.12074029227846327,-0.12074029227846327,-0.12073208897702097,-0.12072388567557865,-0.12071568237413637,-0.12073208897702097,-0.12073208897702097,-0.12073208897702097
78,-0.11818906552990859,-0.11819726883135089,-0.11819726883135089,-0.11820547213279319,-0.11818906552990859,-0.11818086222846629,-0.118172658927024,-0.11819726883135089,-0.1181644556255817,-0.1181562523241394
79,-0.11094555035635943,-0.11094555035635943,-0.11092914375347485,-0.11094555035635943,-0.11096195695924405,-0.11094555035635943,-0.11093734705491715,-0.11096195695924405,-0.11094555035635943,-0.11096195695924405
80,-0.10798415853568986,-0.10798415853568986,-0.10800056513857446,-0.10800056513857446,-0.10800876844001676,-0.10800876844001676,-0.10799236183713215,-0.10800056513857446,-0.10800056513857446,-0.10801697174145908
81,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082,7.749201773155082
82,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238,7.952137574606238
83,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.9946886297492235,7.991415471661297,7.991415471661297,7.991415471661297
84,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133,7.578997552583133
85,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
86,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
87,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
88,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
89,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
90,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
91,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
92,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06
93,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
94,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
95,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
96,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
97,-0.12975572056354875,-0.12973111065922188,-0.12973111065922188,-0.12974751726210648,-0.12973931396066418,-0.12973931396066418,-0.12973111065922188,-0.12973111065922188,-0.12973111065922188,-0.12973111065922188
98,-0.12845139563422336,-0.12845139563422336,-0.1284760055385503,-0.128467802237108,-0.1284760055385503,-0.1284760055385503,-0.1284760055385503,-0.1284842088399926,-0.128467802237108,-0.12850061544287716
99,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261,7.867035464320261
100,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757,7.762294405506757
101,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297,7.991415471661297
102,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778,7.510261232736778
103,-0.09557256345349296,-0.09555615685060836,-0.09553975024772376,-0.09553975024772376,-0.09554795354916606,-0.09555615685060836,-0.09553975024772376,-0.09554795354916606,-0.09552334364483919,-0.09555615685060836
104,-0.09740189967512543,-0.09738549307224086,-0.09741010297656774,-0.09741010297656774,-0.09743471288089464,-0.09741010297656774,-0.09741010297656774,-0.09741010297656774,-0.09740189967512543,-0.09743471288089464
105,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224,8.413652865003224
106,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142,7.788479670210142
107,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002,8.380921284124002
108,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557,8.315458122365557
109,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
110,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
111,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
112,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
113,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
114,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
115,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
116,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
117,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
118,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
119,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
120,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06
121,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
122,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
123,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
124,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
125,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06
126,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
127,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06
128,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,-4.1016507211564516e-06,-4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06,4.1016507211564516e-06
