observed_mzi,probe_arm,perturbed_heater,delta_power_w,eta_base,eta_pert,delta_eta_rad,abs_delta_eta_rad,delta_delta_rad,J_delta_rad_per_w,J_delta_rad_per_mw,j_delta_rad_per_w,j_delta_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,baseline_A,baseline_b,perturbed_A,perturbed_b,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning,quality_warning,base_A,base_w,base_phi,base_b,base_rmse_uW,base_visibility,base_fit_visibility,base_normalized_rmse,base_num_points,base_num_points_used,base_outlier_removed,base_outlier_indices,base_full_rmse_before_outlier_removal,base_fit_success,base_fit_warning,base_fit_mode,pert_A,pert_w,pert_phi,pert_b,pert_rmse_uW,pert_visibility,pert_fit_visibility,pert_normalized_rmse,pert_num_points,pert_num_points_used,pert_outlier_removed,pert_outlier_indices,pert_full_rmse_before_outlier_removal,pert_fit_success,pert_fit_warning,pert_fit_mode
7,u,6u,0.001,1.9165421598410566,1.9191877196979945,0.002645559856937929,0.002645559856937929,0.002645559856937929,2.645559856937929,0.002645559856937929,2.645559856937929,0.002645559856937929,0.026574636676533387,0.017058392448664753,36.2405375652441,40.4626809259541,35.25383145874313,38.707325225579496,False,,0.026574636676533387,True,3,0.12461629581350453,,low_visibility; outlier_removed,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,35.25383145874313,180.85551150485253,1.9191877196979945,38.707325225579496,0.017058392448664753,0.030353547524140653,1.8215586457235156,0.0004838734328388634,9,8,True,[3],0.12461629581350453,True,,full_fixed_w_fit_A_phi_b
8,u,6u,0.001,0.8613111409833705,0.8962808799770539,0.034969738993683386,0.034969738993683386,0.034969738993683386,34.969738993683386,0.034969738993683386,34.969738993683386,0.034969738993683386,0.023563773892824515,0.024679395523891947,38.50933128517858,50.071468335661066,40.22499652124533,48.06427607039331,False,,0.023563773892824515,True,6,0.32207989565680983,,outlier_removed,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,40.22499652124533,181.42825620486886,0.8962808799770539,48.06427607039331,0.024679395523891947,0.057299422949940976,1.673800161364468,0.000613533813753277,9,8,True,[6],0.32207989565680983,True,,full_fixed_w_fit_A_phi_b
5,u,6d,0.001,2.6009194019333517,2.58059041040047,-0.0203289915328817,0.0203289915328817,-0.0203289915328817,-20.3289915328817,-0.0203289915328817,-20.3289915328817,-0.0203289915328817,0.027272789677569232,0.027096469986616124,45.0260943524818,49.557523481009355,45.01853955086477,48.36442629907535,False,,0.027272789677569232,True,2,0.45685038395953126,,outlier_removed,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,45.01853955086477,179.8566249709832,2.58059041040047,48.36442629907535,0.027096469986616124,0.0947003780424662,1.861638522184867,0.0006018958024171537,9,8,True,[2],0.45685038395953126,True,,full_fixed_w_fit_A_phi_b
6,u,6d,0.001,1.353766793889636,-1.6422035070672498,-2.995970300956886,2.995970300956886,-2.995970300956886,-2995.9703009568857,-2.995970300956886,-2995.9703009568857,-2.995970300956886,0.016806797604439833,5.815534725604747,8.24195950877607,43.3536466970612,927.5228106143492,980.0826160733293,False,,0.016806797604439833,False,,5.815534725604747,large_phase_shift,low_visibility; large_phase_shift,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,927.5228106143492,181.93760770075124,-1.6422035070672498,980.0826160733293,5.815534725604747,0.21574422031684914,1.8927441327965608,0.006269964101209328,9,9,False,[],5.815534725604747,True,,full_fixed_w_fit_A_phi_b
7,u,6d,0.001,1.9165421598410566,1.9133064825287889,-0.003235677312267704,0.003235677312267704,-0.003235677312267704,-3.235677312267704,-0.003235677312267704,-3.235677312267704,-0.003235677312267704,0.026574636676533387,0.020148022400438986,36.2405375652441,40.4626809259541,36.99218430683956,39.106519437714695,False,,0.026574636676533387,False,,0.020148022400438986,,low_visibility,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,36.99218430683956,180.85551150485253,1.9133064825287889,39.106519437714695,0.020148022400438986,0.030294857297054577,1.8918678951092718,0.0005446561963823741,9,9,False,[],0.020148022400438986,True,,full_fixed_w_fit_A_phi_b
8,u,6d,0.001,0.8613111409833705,0.7989452931211853,-0.06236584786218513,0.06236584786218513,-0.06236584786218513,-62.36584786218513,-0.062365847862185124,-62.36584786218513,-0.062365847862185124,0.023563773892824515,0.03700808490514007,38.50933128517858,50.071468335661066,36.01541569225601,53.65606616734849,False,,0.023563773892824515,False,,0.03700808490514007,,,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,36.01541569225601,181.42825620486886,0.7989452931211853,53.65606616734849,0.03700808490514007,0.057693722589410065,1.3424545727943282,0.0010275623422305105,9,9,False,[],0.03700808490514007,True,,full_fixed_w_fit_A_phi_b
5,u,7u,0.001,2.6009194019333517,2.6735617407373145,0.07264233880396276,0.07264233880396276,0.07264233880396276,72.64233880396276,0.07264233880396276,72.64233880396276,0.07264233880396276,0.027272789677569232,0.051934279009886966,45.0260943524818,49.557523481009355,42.76406261574111,53.00151972495821,False,,0.027272789677569232,False,,0.051934279009886966,,,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,42.76406261574111,179.8566249709832,2.6735617407373145,53.00151972495821,0.051934279009886966,0.09558008080155452,1.6136919408219792,0.001214437446613652,9,9,False,[],0.051934279009886966,True,,full_fixed_w_fit_A_phi_b
6,u,7u,0.001,1.353766793889636,1.3693889942165995,0.015622200326963487,0.015622200326963487,0.015622200326963487,15.622200326963487,0.015622200326963487,15.622200326963487,0.015622200326963487,0.016806797604439833,0.014658944034974431,8.24195950877607,43.3536466970612,9.514889936765217,42.08158033915183,False,,0.016806797604439833,False,,0.014658944034974431,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,9.514889936765217,181.93760770075124,1.3693889942165995,42.08158033915183,0.014658944034974431,0.006681195089784539,0.4522116260882323,0.0015406320128131762,9,9,False,[],0.014658944034974431,True,,full_fixed_w_fit_A_phi_b
7,u,7u,0.001,1.9165421598410566,2.063729823055306,0.14718766321424948,0.14718766321424948,0.14718766321424948,147.18766321424948,0.14718766321424948,147.18766321424948,0.14718766321424948,0.026574636676533387,0.0357639263859122,36.2405375652441,40.4626809259541,38.15833844604312,38.02950190681567,False,,0.026574636676533387,True,7,0.25807253076186765,,low_visibility; outlier_removed,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,38.15833844604312,180.85551150485253,2.063729823055306,38.02950190681567,0.0357639263859122,0.04549014488970107,2.0067756101325305,0.0009372506205028639,9,8,True,[7],0.25807253076186765,True,,full_fixed_w_fit_A_phi_b
8,u,7u,0.001,0.8613111409833705,0.7363354279867242,-0.12497571299664623,0.12497571299664623,-0.12497571299664623,-124.97571299664622,-0.12497571299664623,-124.97571299664622,-0.12497571299664623,0.023563773892824515,0.03460065052482493,38.50933128517858,50.071468335661066,35.33524363846855,56.059265010106415,False,,0.023563773892824515,False,,0.03460065052482493,,,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,35.33524363846855,181.42825620486886,0.7363354279867242,56.059265010106415,0.03460065052482493,0.0598477771395149,1.260638848265252,0.0009792107528347736,9,9,False,[],0.03460065052482493,True,,full_fixed_w_fit_A_phi_b
5,u,7d,0.001,2.6009194019333517,2.574819809146625,-0.02609959278672669,0.02609959278672669,-0.02609959278672669,-26.09959278672669,-0.02609959278672669,-26.09959278672669,-0.02609959278672669,0.027272789677569232,0.014333517215521563,45.0260943524818,49.557523481009355,45.2487884500528,48.04234698491945,False,,0.027272789677569232,False,,0.014333517215521563,,,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,45.2487884500528,179.8566249709832,2.574819809146625,48.04234698491945,0.014333517215521563,0.09499801987711215,1.8837043271119311,0.00031677129281247835,9,9,False,[],0.014333517215521563,True,,full_fixed_w_fit_A_phi_b
6,u,7d,0.001,1.353766793889636,1.3678232435437891,0.014056449654153091,0.014056449654153091,0.014056449654153091,14.056449654153091,0.014056449654153091,14.056449654153091,0.014056449654153091,0.016806797604439833,0.02158661853755378,8.24195950877607,43.3536466970612,8.868148103759104,42.6011216186871,False,,0.016806797604439833,False,,0.02158661853755378,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,8.868148103759104,181.93760770075124,1.3678232435437891,42.6011216186871,0.02158661853755378,0.006509382255313159,0.416334019706611,0.0024341743377519222,9,9,False,[],0.02158661853755378,True,,full_fixed_w_fit_A_phi_b
7,u,7d,0.001,1.9165421598410566,1.7221481274243642,-0.1943940324166924,0.1943940324166924,-0.1943940324166924,-194.3940324166924,-0.1943940324166924,-194.3940324166924,-0.1943940324166924,0.026574636676533387,0.021234423112295273,36.2405375652441,40.4626809259541,35.26812382679582,42.91518140466515,False,,0.026574636676533387,False,,0.021234423112295273,,low_visibility,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,35.26812382679582,180.85551150485253,1.7221481274243642,42.91518140466515,0.021234423112295273,0.012654561125296471,1.6436199345978744,0.000602085419019707,9,9,False,[],0.021234423112295273,True,,full_fixed_w_fit_A_phi_b
8,u,7d,0.001,0.8613111409833705,0.8287838647789125,-0.032527276204457944,0.032527276204457944,-0.032527276204457944,-32.52727620445794,-0.03252727620445794,-32.52727620445794,-0.03252727620445794,0.023563773892824515,0.02529962559507978,38.50933128517858,50.071468335661066,37.83820641283923,51.84776423590273,False,,0.023563773892824515,False,,0.02529962559507978,,,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,37.83820641283923,181.42825620486886,0.8287838647789125,51.84776423590273,0.02529962559507978,0.058427191096933916,1.4595887390892592,0.0006686264491251133,9,9,False,[],0.02529962559507978,True,,full_fixed_w_fit_A_phi_b
5,u,8u,0.001,2.6009194019333517,2.6648406642534184,0.06392126232006667,0.06392126232006667,0.06392126232006667,63.921262320066674,0.06392126232006667,63.921262320066674,0.06392126232006667,0.027272789677569232,0.03637250852929483,45.0260943524818,49.557523481009355,42.94856931631253,52.60764359698223,False,,0.027272789677569232,False,,0.03637250852929483,,,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,42.94856931631253,179.8566249709832,2.6648406642534184,52.60764359698223,0.03637250852929483,0.09512441973452099,1.632788179806488,0.0008468852189560594,9,9,False,[],0.03637250852929483,True,,full_fixed_w_fit_A_phi_b
6,u,8u,0.001,1.353766793889636,1.3912422011052659,0.03747540721562981,0.03747540721562981,0.03747540721562981,37.47540721562981,0.03747540721562981,37.47540721562981,0.03747540721562981,0.016806797604439833,0.023535280245848264,8.24195950877607,43.3536466970612,11.64923978328505,39.96534236058888,False,,0.016806797604439833,False,,0.023535280245848264,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,11.64923978328505,181.93760770075124,1.3912422011052659,39.96534236058888,0.023535280245848264,0.007623561208102648,0.582967095749078,0.002020327565032865,9,9,False,[],0.023535280245848264,True,,full_fixed_w_fit_A_phi_b
7,u,8u,0.001,1.9165421598410566,1.9303390972114425,0.013796937370385898,0.013796937370385898,0.013796937370385898,13.796937370385898,0.013796937370385898,13.796937370385898,0.013796937370385898,0.026574636676533387,0.0228851492343555,36.2405375652441,40.4626809259541,33.558884786594014,42.76157507401866,False,,0.026574636676533387,False,,0.0228851492343555,,low_visibility,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,33.558884786594014,180.85551150485253,1.9303390972114425,42.76157507401866,0.0228851492343555,0.028578294132161414,1.5695813228818098,0.0006819400996155146,9,9,False,[],0.0228851492343555,True,,full_fixed_w_fit_A_phi_b
8,u,8u,0.001,0.8613111409833705,1.0638807692633288,0.20256962827995828,0.20256962827995828,0.20256962827995828,202.56962827995827,0.20256962827995825,202.56962827995827,0.20256962827995825,0.023563773892824515,0.04214213324700994,38.50933128517858,50.071468335661066,39.46541377371645,49.036847496055906,False,,0.023563773892824515,False,,0.04214213324700994,,low_visibility,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,39.46541377371645,181.42825620486886,1.0638807692633288,49.036847496055906,0.04214213324700994,0.04151080065203155,1.609622795465826,0.0010678244370790344,9,9,False,[],0.04214213324700994,True,,full_fixed_w_fit_A_phi_b
5,u,8d,0.001,2.6009194019333517,2.673885406559738,0.07296600462638647,0.07296600462638647,0.07296600462638647,72.96600462638646,0.07296600462638646,72.96600462638646,0.07296600462638646,0.027272789677569232,0.03213436658821844,45.0260943524818,49.557523481009355,42.705796675286386,53.13004461283493,False,,0.027272789677569232,False,,0.03213436658821844,,,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,42.705796675286386,179.8566249709832,2.673885406559738,53.13004461283493,0.03213436658821844,0.0951648955628373,1.607594986470977,0.0007524591294374429,9,9,False,[],0.03213436658821844,True,,full_fixed_w_fit_A_phi_b
6,u,8d,0.001,1.353766793889636,1.1646514081746044,-0.18911538571503161,0.18911538571503161,-0.18911538571503161,-189.1153857150316,-0.18911538571503161,-189.1153857150316,-0.18911538571503161,0.016806797604439833,0.01951277406958882,8.24195950877607,43.3536466970612,5.441761168628703,46.43557095801785,False,,0.016806797604439833,False,,0.01951277406958882,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,5.441761168628703,181.93760770075124,1.1646514081746044,46.43557095801785,0.01951277406958882,0.00742663788974705,0.23437899249902924,0.0035857461334536933,9,9,False,[],0.01951277406958882,True,,full_fixed_w_fit_A_phi_b
7,u,8d,0.001,1.9165421598410566,1.9068055676266509,-0.009736592214405704,0.009736592214405704,-0.009736592214405704,-9.736592214405704,-0.009736592214405704,-9.736592214405704,-0.009736592214405704,0.026574636676533387,0.029148040006501938,36.2405375652441,40.4626809259541,35.6609115434865,40.64216074358065,False,,0.026574636676533387,False,,0.029148040006501938,,low_visibility,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,35.6609115434865,180.85551150485253,1.9068055676266509,40.64216074358065,0.029148040006501938,0.028738581100358315,1.7548728163582727,0.0008173666556716455,9,9,False,[],0.029148040006501938,True,,full_fixed_w_fit_A_phi_b
8,u,8d,0.001,0.8613111409833705,0.6636000353133111,-0.19771110567005934,0.19771110567005934,-0.19771110567005934,-197.71110567005934,-0.19771110567005934,-197.71110567005934,-0.19771110567005934,0.023563773892824515,0.051448024191666,38.50933128517858,50.071468335661066,37.91848937206966,50.80618375700364,False,,0.023563773892824515,True,3,0.40815181425796754,,outlier_removed,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,37.91848937206966,181.42825620486886,0.6636000353133111,50.80618375700364,0.051448024191666,0.0739023981990297,1.4926722130292887,0.0013568057442067312,9,8,True,[3],0.40815181425796754,True,,full_fixed_w_fit_A_phi_b
