observed_mzi,bmzi,perturbed_heater,delta_power_w,sigma_scan_mode,fit_mode,beta_base,beta_pert,delta_beta,delta_beta_rad,abs_delta_beta_rad,sigma_coeff,relative_sigma_link_rad,J_sigma_link_rad_per_w,J_sigma_link_rad_per_mw,j_sigma_link_rad_per_w,j_sigma_link_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,baseline_A,baseline_b,perturbed_A,perturbed_b,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning,quality_warning,base_A,base_w,base_phi,base_b,base_rmse_uW,base_visibility,base_fit_visibility,base_normalized_rmse,base_num_points,base_num_points_used,base_outlier_removed,base_outlier_indices,base_full_rmse_before_outlier_removal,base_fit_success,base_fit_warning,base_fit_mode,pert_A,pert_w,pert_phi,pert_b,pert_rmse_uW,pert_visibility,pert_fit_visibility,pert_normalized_rmse,pert_num_points,pert_num_points_used,pert_outlier_removed,pert_outlier_indices,pert_full_rmse_before_outlier_removal,pert_fit_success,pert_fit_warning,pert_fit_mode,bmzi_global_delta_sigma_rad,global_delta_sigma_rad,J_sigma_global_rad_per_w
7,6,6u,0.001,full,full_fixed_w_fit_A_phi_b,-1.279424239068717,-1.356871091262445,-0.07744685219372816,-0.07744685219372816,0.07744685219372816,2.0,-0.1548937043874563,-154.8937043874563,-0.15489370438745628,-154.8937043874563,-0.15489370438745628,0.06607997637423842,0.0717784557272496,5.098700826003978,5.313459803515095,5.198520655573961,5.40581314325851,False,,0.06607997637423842,False,,0.0717784557272496,sigma_coeff default +2,,5.098700826003978,1.0069923778269545,-1.279424239068717,5.313459803515095,0.06607997637423842,0.9094261216586425,1.9191641659285559,0.012960159583637994,9,9,False,[],0.06607997637423842,True,,full_free_fit,5.198520655573961,1.0069923778269545,-1.356871091262445,5.40581314325851,0.0717784557272496,0.9328808257506236,1.9233075645823756,0.013807477258032488,9,9,False,[],0.0717784557272496,True,,full_fixed_w_fit_A_phi_b,-0.022846573866607045,-0.17774027825406336,-177.74027825406336
8,7,6u,0.001,full,full_fixed_w_fit_A_phi_b,-0.9489163794932787,-0.9450568047552426,0.003859574738036109,0.003859574738036109,0.003859574738036109,2.0,0.007719149476072218,7.719149476072218,0.007719149476072218,7.719149476072218,0.007719149476072218,0.08937443022668505,0.08491183439439028,2.2289864729303366,2.4406552903681304,2.3706449994977996,2.410218662292603,True,1,0.24906323389255322,False,,0.08491183439439028,sigma_coeff default +2,outlier_removed,2.2289864729303366,0.9989500424389421,-0.9489163794932787,2.4406552903681304,0.08937443022668505,0.828799425488765,1.8265475519848053,0.0400964435235845,9,8,True,[1],0.24906323389255322,True,,full_free_fit,2.3706449994977996,0.9989500424389421,-0.9450568047552426,2.410218662292603,0.08491183439439028,0.9475579656886423,1.9671617655161953,0.0358180302881191,9,9,False,[],0.08491183439439028,True,,full_fixed_w_fit_A_phi_b,-0.17774027825406336,-0.17002112877799114,-170.02112877799112
5,0,6d,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.21592229779247774,-0.0023761805714146433,-0.0023761805714146433,0.0023761805714146433,2.0,-0.004752361142829287,-4.752361142829287,-0.004752361142829287,-4.752361142829287,-0.004752361142829287,0.9571871731046595,0.9543405072340411,64.33951604548656,81.5477450572965,64.3352224400886,81.43982356420561,False,,0.9571871731046595,False,,0.9543405072340411,sigma_coeff default +2,,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,64.3352224400886,1.0027449316595205,0.21592229779247774,81.43982356420561,0.9543405072340411,0.7618916307646204,1.5799450348604436,0.014833872815513448,9,9,False,[],0.9543405072340411,True,,full_fixed_w_fit_A_phi_b,0.0,-0.004752361142829287,-4.752361142829287
6,5,6d,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.4599567254631132,0.08995073305123524,0.08995073305123524,0.08995073305123524,2.0,0.1799014661024705,179.9014661024705,0.1799014661024705,179.9014661024705,0.1799014661024705,1.1378107252146454,1.0284905653256426,53.01371948663705,54.18349654207655,53.078011418220605,53.526149316186434,False,,1.1378107252146454,False,,1.0284905653256426,sigma_coeff default +2,,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,53.078011418220605,1.0032216566689005,-1.4599567254631132,53.526149316186434,1.0284905653256426,0.9955268133938154,1.9832553656972924,0.019376961152930132,9,9,False,[],1.0284905653256426,True,,full_fixed_w_fit_A_phi_b,-0.004752361142829287,0.1751491049596412,175.1491049596412
7,6,6d,0.001,full,full_fixed_w_fit_A_phi_b,-1.279424239068717,-1.3459301582389498,-0.06650591917023263,-0.06650591917023263,0.06650591917023263,2.0,-0.13301183834046526,-133.01183834046526,-0.13301183834046526,-133.01183834046526,-0.13301183834046526,0.06607997637423842,0.045535229616247494,5.098700826003978,5.313459803515095,4.940878381977318,5.0587972885141355,False,,0.06607997637423842,True,6,0.30939439441552924,sigma_coeff default +2,outlier_removed,5.098700826003978,1.0069923778269545,-1.279424239068717,5.313459803515095,0.06607997637423842,0.9094261216586425,1.9191641659285559,0.012960159583637994,9,9,False,[],0.06607997637423842,True,,full_free_fit,4.940878381977318,1.0069923778269545,-1.3459301582389498,5.0587972885141355,0.045535229616247494,0.9429592350788172,1.9533806555939495,0.009216019115618162,9,8,True,[6],0.30939439441552924,True,,full_fixed_w_fit_A_phi_b,0.1751491049596412,0.04213726661917593,42.13726661917593
8,7,6d,0.001,full,full_fixed_w_fit_A_phi_b,-0.9489163794932787,-0.9490789055573625,-0.0001625260640838455,-0.0001625260640838455,0.0001625260640838455,2.0,-0.000325052128167691,-0.325052128167691,-0.000325052128167691,-0.325052128167691,-0.000325052128167691,0.08937443022668505,0.041469894855688666,2.2289864729303366,2.4406552903681304,2.317881730512122,2.419219633853708,True,1,0.24906323389255322,False,,0.041469894855688666,sigma_coeff default +2,outlier_removed,2.2289864729303366,0.9989500424389421,-0.9489163794932787,2.4406552903681304,0.08937443022668505,0.828799425488765,1.8265475519848053,0.0400964435235845,9,8,True,[1],0.24906323389255322,True,,full_free_fit,2.317881730512122,0.9989500424389421,-0.9490789055573625,2.419219633853708,0.041469894855688666,0.9451883401171574,1.916222651367822,0.017891290271538633,9,9,False,[],0.041469894855688666,True,,full_fixed_w_fit_A_phi_b,0.04213726661917593,0.04181221449100824,41.81221449100824
5,0,7u,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.21645439634966168,-0.0018440820142306968,-0.0018440820142306968,0.0018440820142306968,2.0,-0.0036881640284613937,-3.6881640284613937,-0.0036881640284613937,-3.6881640284613937,-0.0036881640284613937,0.9571871731046595,0.9492827606716392,64.33951604548656,81.5477450572965,64.33283743871003,81.44830030587018,False,,0.9571871731046595,False,,0.9492827606716392,sigma_coeff default +2,,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,64.33283743871003,1.0027449316595205,0.21645439634966168,81.44830030587018,0.9492827606716392,0.7613441728440149,1.579722037098751,0.014755804321176133,9,9,False,[],0.9492827606716392,True,,full_fixed_w_fit_A_phi_b,0.0,-0.0036881640284613937,-3.6881640284613937
6,5,7u,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.555678472521582,-0.005771014007233788,-0.005771014007233788,0.005771014007233788,2.0,-0.011542028014467576,-11.542028014467576,-0.011542028014467576,-11.542028014467576,-0.011542028014467576,1.1378107252146454,1.3197980228890451,53.01371948663705,54.18349654207655,53.5847792929097,54.11201413028215,False,,1.1378107252146454,False,,1.3197980228890451,sigma_coeff default +2,,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,53.5847792929097,1.0032216566689005,-1.555678472521582,54.11201413028215,1.3197980228890451,0.9931141236243451,1.9805132059544834,0.024630091610056883,9,9,False,[],1.3197980228890451,True,,full_fixed_w_fit_A_phi_b,-0.0036881640284613937,-0.01523019204292897,-15.23019204292897
7,6,7u,0.001,full,full_fixed_w_fit_A_phi_b,-1.279424239068717,-1.2821677441146053,-0.0027435050458883836,-0.0027435050458883836,0.0027435050458883836,2.0,-0.005487010091776767,-5.487010091776767,-0.005487010091776767,-5.487010091776767,-0.005487010091776767,0.06607997637423842,0.06228265419454381,5.098700826003978,5.313459803515095,5.10033716340179,5.309751524673749,False,,0.06607997637423842,False,,0.06228265419454381,sigma_coeff default +2,,5.098700826003978,1.0069923778269545,-1.279424239068717,5.313459803515095,0.06607997637423842,0.9094261216586425,1.9191641659285559,0.012960159583637994,9,9,False,[],0.06607997637423842,True,,full_free_fit,5.10033716340179,1.0069923778269545,-1.2821677441146053,5.309751524673749,0.06228265419454381,0.9114137203318826,1.9211208433016738,0.012211477829634878,9,9,False,[],0.06228265419454381,True,,full_fixed_w_fit_A_phi_b,-0.01523019204292897,-0.020717202134705737,-20.717202134705737
8,7,7u,0.001,full,full_fixed_w_fit_A_phi_b,-0.9489163794932787,-1.0111834723148294,-0.06226709282155074,-0.06226709282155074,0.06226709282155074,2.0,-0.12453418564310148,-124.53418564310148,-0.12453418564310148,-124.53418564310148,-0.12453418564310148,0.08937443022668505,0.03166598668384666,2.2289864729303366,2.4406552903681304,2.3546109083201205,2.4840024511884677,True,1,0.24906323389255322,False,,0.03166598668384666,sigma_coeff default +2,outlier_removed,2.2289864729303366,0.9989500424389421,-0.9489163794932787,2.4406552903681304,0.08937443022668505,0.828799425488765,1.8265475519848053,0.0400964435235845,9,8,True,[1],0.24906323389255322,True,,full_free_fit,2.3546109083201205,0.9989500424389421,-1.0111834723148294,2.4840024511884677,0.03166598668384666,0.9277945131870796,1.895820116597357,0.013448500799836402,9,9,False,[],0.03166598668384666,True,,full_fixed_w_fit_A_phi_b,-0.020717202134705737,-0.14525138777780722,-145.25138777780722
5,0,7d,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.21700118321732287,-0.0012972951465695104,-0.0012972951465695104,0.0012972951465695104,2.0,-0.002594590293139021,-2.594590293139021,-0.002594590293139021,-2.594590293139021,-0.002594590293139021,0.9571871731046595,0.9471962310972942,64.33951604548656,81.5477450572965,64.34512612151921,81.4683343702521,False,,0.9571871731046595,False,,0.9471962310972942,sigma_coeff default +2,,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,64.34512612151921,1.0027449316595205,0.21700118321732287,81.4683343702521,0.9471962310972942,0.761389719594056,1.5796352440222379,0.014720559088010232,9,9,False,[],0.9471962310972942,True,,full_fixed_w_fit_A_phi_b,0.0,-0.002594590293139021,-2.594590293139021
6,5,7d,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.5522378574812494,-0.002330398966901015,-0.002330398966901015,0.002330398966901015,2.0,-0.00466079793380203,-4.66079793380203,-0.00466079793380203,-4.66079793380203,-0.00466079793380203,1.1378107252146454,1.0941975879066053,53.01371948663705,54.18349654207655,53.34098921776469,53.92386933795599,False,,1.1378107252146454,True,3,5.967384812142895,sigma_coeff default +2,outlier_removed,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,53.34098921776469,1.0032216566689005,-1.5522378574812494,53.92386933795599,1.0941975879066053,0.9931628634604418,1.9783813688688312,0.020513260139206298,9,8,True,[3],5.967384812142895,True,,full_fixed_w_fit_A_phi_b,-0.002594590293139021,-0.007255388226941051,-7.255388226941051
7,6,7d,0.001,full,full_fixed_w_fit_A_phi_b,-1.279424239068717,-1.1825013790232608,0.09692286004545636,0.09692286004545636,0.09692286004545636,2.0,0.19384572009091272,193.84572009091272,0.19384572009091272,193.84572009091272,0.19384572009091272,0.06607997637423842,0.10492532890676486,5.098700826003978,5.313459803515095,4.923054803922976,5.178625730651396,False,,0.06607997637423842,False,,0.10492532890676486,sigma_coeff default +2,,5.098700826003978,1.0069923778269545,-1.279424239068717,5.313459803515095,0.06607997637423842,0.9094261216586425,1.9191641659285559,0.012960159583637994,9,9,False,[],0.06607997637423842,True,,full_free_fit,4.923054803922976,1.0069923778269545,-1.1825013790232608,5.178625730651396,0.10492532890676486,0.9042210406635883,1.9012977805228366,0.021313053192735996,9,9,False,[],0.10492532890676486,True,,full_fixed_w_fit_A_phi_b,-0.007255388226941051,0.18659033186397167,186.59033186397167
8,7,7d,0.001,full,full_fixed_w_fit_A_phi_b,-0.9489163794932787,-1.0345938768866896,-0.0856774973934109,-0.0856774973934109,0.0856774973934109,2.0,-0.1713549947868218,-171.3549947868218,-0.1713549947868218,-171.3549947868218,-0.1713549947868218,0.08937443022668505,0.03294889889792462,2.2289864729303366,2.4406552903681304,2.2754856427498793,2.369065261886562,True,1,0.24906323389255322,True,4,0.12300658930637794,sigma_coeff default +2,outlier_removed,2.2289864729303366,0.9989500424389421,-0.9489163794932787,2.4406552903681304,0.08937443022668505,0.828799425488765,1.8265475519848053,0.0400964435235845,9,8,True,[1],0.24906323389255322,True,,full_free_fit,2.2754856427498793,0.9989500424389421,-1.0345938768866896,2.369065261886562,0.03294889889792462,0.934977433345999,1.9209986988183159,0.014479941459048948,9,8,True,[4],0.12300658930637794,True,,full_fixed_w_fit_A_phi_b,0.18659033186397167,0.015235337077149864,15.235337077149865
5,0,8u,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.21670118566208174,-0.0015972927018106375,-0.0015972927018106375,0.0015972927018106375,2.0,-0.003194585403621275,-3.194585403621275,-0.003194585403621275,-3.194585403621275,-0.003194585403621275,0.9571871731046595,0.9463618479508691,64.33951604548656,81.5477450572965,64.35986060901148,81.52549485267804,False,,0.9571871731046595,False,,0.9463618479508691,sigma_coeff default +2,,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,64.35986060901148,1.0027449316595205,0.21670118566208174,81.52549485267804,0.9463618479508691,0.761181835674194,1.5788891738790178,0.014704224636222445,9,9,False,[],0.9463618479508691,True,,full_fixed_w_fit_A_phi_b,0.0,-0.003194585403621275,-3.194585403621275
6,5,8u,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.5510344075208375,-0.0011269490064891308,-0.0011269490064891308,0.0011269490064891308,2.0,-0.0022538980129782615,-2.2538980129782615,-0.0022538980129782615,-2.2538980129782615,-0.0022538980129782615,1.1378107252146454,1.003683932853609,53.01371948663705,54.18349654207655,53.430265070476324,54.00003544035285,False,,1.1378107252146454,False,,1.003683932853609,sigma_coeff default +2,,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,53.430265070476324,1.0032216566689005,-1.5510344075208375,54.00003544035285,1.003683932853609,0.9931939529532936,1.978897407557968,0.018784932688050787,9,9,False,[],1.003683932853609,True,,full_fixed_w_fit_A_phi_b,-0.003194585403621275,-0.005448483416599537,-5.448483416599537
